experiment,condition,comparison,replicate,val_accuracy,channels,input_type,timepoint
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,1,0.754,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,2,0.749,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,3,0.746,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,4,0.745,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,5,0.744,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,6,0.75,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,7,0.753,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,8,0.746,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,9,0.744,3,single_timepoint,T0
RESCUE_genotype_classification,0ms_baseline,APP_vs_WT_at_T0,10,0.754,3,single_timepoint,T0
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,1,0.758,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,2,0.754,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,3,0.755,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,4,0.756,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,5,0.751,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,6,0.754,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,7,0.748,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,8,0.754,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,9,0.762,3,single_timepoint,T15
RESCUE_genotype_classification,10000ms_post_stim,APP_vs_WT_at_T15,10,0.762,3,single_timepoint,T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,1,0.716,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,2,0.746,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,3,0.75,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,4,0.695,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,5,0.775,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,6,0.695,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,7,0.699,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,8,0.72,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,9,0.754,6,full_timeseries,T0-T15
temporal_change_detection,APP_full_timeseries,APP_T0_vs_APP_T15,10,0.758,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,1,0.58,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,2,0.62,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,3,0.54,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,4,0.54,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,5,0.68,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,6,0.72,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,7,0.56,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,8,0.64,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,9,0.56,6,full_timeseries,T0-T15
temporal_change_detection,WT_full_timeseries,WT_T0_vs_WT_T15,10,0.54,6,full_timeseries,T0-T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,1,0.6972,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,2,0.6831,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,3,0.7025,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,4,0.6884,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,5,0.7042,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,6,0.7042,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,7,0.6937,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,8,0.6884,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,9,0.6884,3,single_timepoint,T14_vs_T15
temporal_change_detection,APP_last_timepoint_only,APP_T14_vs_APP_T15,10,0.706,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,1,0.6027,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,2,0.5839,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,3,0.6113,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,4,0.6113,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,5,0.613,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,6,0.6096,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,7,0.6233,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,8,0.6027,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,9,0.6164,3,single_timepoint,T14_vs_T15
temporal_change_detection,WT_last_timepoint_only,WT_T14_vs_WT_T15,10,0.6113,3,single_timepoint,T14_vs_T15
