well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A11,1,T0,Control,0ms,6,0.66572857,0.17401603,0.33427146,0.17401601,0.16666666666666666
A11,1,T15,Control,0ms,6,0.57767975,0.351045,0.42232028,0.351045,0.3333333333333333
A11,2,T0,Control,10000ms,11,0.6176067,0.20696999,0.38239327,0.20696999,0.2727272727272727
A11,2,T15,Control,10000ms,11,0.54876035,0.2783526,0.45123962,0.2783526,0.45454545454545453
A11,3,T0,Control,10000ms,26,0.66490465,0.15191291,0.33509535,0.15191291,0.15384615384615385
A11,3,T15,Control,10000ms,26,0.5427424,0.27194345,0.45725763,0.27194345,0.34615384615384615
A11,4,T0,Control,0ms,22,0.64228415,0.25411445,0.35771582,0.25411445,0.22727272727272727
A11,4,T15,Control,0ms,22,0.6391743,0.2473321,0.3608257,0.24733211,0.22727272727272727
A23,1,T0,Control,0ms,18,0.6222281,0.24314553,0.3777719,0.24314551,0.2777777777777778
A23,1,T15,Control,0ms,18,0.58579725,0.25696272,0.41420275,0.25696272,0.3333333333333333
A23,2,T0,Control,10000ms,26,0.6034491,0.26190764,0.39655092,0.26190764,0.3076923076923077
A23,2,T15,Control,10000ms,26,0.6436211,0.24102452,0.3563789,0.24102451,0.23076923076923078
A23,3,T0,Control,10000ms,16,0.68305963,0.20135833,0.31694037,0.20135833,0.125
A23,3,T15,Control,10000ms,16,0.7098681,0.18113303,0.29013193,0.18113303,0.0625
A7,1,T0,Control,0ms,2,0.45104304,0.5633715,0.548957,0.5633715,0.5
A7,1,T15,Control,0ms,2,0.52564967,0.38590822,0.47435036,0.3859083,0.5
A7,2,T0,Control,10000ms,19,0.51836187,0.3153076,0.48163816,0.3153076,0.42105263157894735
A7,2,T15,Control,10000ms,19,0.45293286,0.34329522,0.54706717,0.34329522,0.47368421052631576
A7,3,T0,Control,10000ms,25,0.5749116,0.25511396,0.42508844,0.25511393,0.36
A7,3,T15,Control,10000ms,25,0.4761312,0.32410005,0.5238688,0.32410005,0.48
A7,4,T0,Control,0ms,10,0.61686933,0.2797867,0.3831307,0.27978674,0.2
A7,4,T15,Control,0ms,10,0.5852951,0.21291548,0.41470495,0.21291551,0.4
B11,1,T0,Control,0ms,10,0.6496387,0.25940216,0.35036135,0.25940216,0.2
B11,1,T15,Control,0ms,10,0.61701226,0.25304192,0.38298774,0.2530419,0.2
B11,2,T0,Control,10000ms,15,0.7072754,0.19234487,0.29272458,0.19234486,0.06666666666666667
B11,2,T15,Control,10000ms,15,0.6692166,0.16053578,0.33078337,0.16053578,0.13333333333333333
B11,3,T0,Control,10000ms,24,0.6995991,0.1911992,0.30040085,0.19119918,0.125
B11,3,T15,Control,10000ms,24,0.7218538,0.16345818,0.2781462,0.16345817,0.08333333333333333
B11,4,T0,Control,0ms,15,0.7136908,0.18025628,0.28630915,0.18025626,0.13333333333333333
B11,4,T15,Control,0ms,15,0.6815952,0.14948343,0.31840476,0.14948343,0.13333333333333333
B23,1,T0,Control,0ms,13,0.6841519,0.14798221,0.31584814,0.14798222,0.07692307692307693
B23,1,T15,Control,0ms,13,0.61208105,0.20000337,0.38791895,0.20000339,0.23076923076923078
B23,2,T0,Control,10000ms,11,0.6171902,0.22014548,0.38280982,0.22014546,0.18181818181818182
B23,2,T15,Control,10000ms,11,0.5708055,0.2397909,0.42919448,0.2397909,0.2727272727272727
B23,3,T0,Control,10000ms,25,0.7377981,0.14308803,0.26220196,0.14308803,0.12
B23,3,T15,Control,10000ms,25,0.64138114,0.2189456,0.35861886,0.21894558,0.2
B23,4,T0,Control,0ms,23,0.64899045,0.26121446,0.35100955,0.26121446,0.17391304347826086
B23,4,T15,Control,0ms,23,0.6207512,0.2562438,0.3792488,0.2562438,0.17391304347826086
B3,1,T0,Control,0ms,14,0.5710533,0.2723478,0.42894664,0.27234778,0.2857142857142857
B3,1,T15,Control,0ms,14,0.49220777,0.27722847,0.50779223,0.27722847,0.5
B3,2,T0,Control,10000ms,37,0.64244545,0.23310289,0.35755455,0.23310289,0.1891891891891892
B3,2,T15,Control,10000ms,37,0.59053683,0.2353351,0.40946314,0.2353351,0.2972972972972973
