well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A11,1,T0,Control,0ms,6,0.36977196,0.28442436,0.63022804,0.28442436,0.5
A11,1,T15,Control,0ms,6,0.46758536,0.33628154,0.5324146,0.33628154,0.5
A11,2,T0,Control,10000ms,11,0.32715482,0.23328753,0.6728452,0.23328751,0.8181818181818182
A11,2,T15,Control,10000ms,11,0.5522803,0.30244634,0.4477197,0.30244634,0.36363636363636365
A11,3,T0,Control,10000ms,26,0.4152311,0.24780558,0.5847689,0.2478056,0.5384615384615384
A11,3,T15,Control,10000ms,26,0.6402172,0.2200714,0.35978281,0.2200714,0.15384615384615385
A11,4,T0,Control,0ms,22,0.44338492,0.22937183,0.5566151,0.22937185,0.5
A11,4,T15,Control,0ms,22,0.64194024,0.22627194,0.35805973,0.22627194,0.18181818181818182
A23,1,T0,Control,0ms,18,0.504197,0.24924514,0.495803,0.24924514,0.3888888888888889
A23,1,T15,Control,0ms,18,0.7118032,0.15114005,0.28819674,0.15114006,0.1111111111111111
A23,2,T0,Control,10000ms,26,0.49945387,0.21337168,0.5005461,0.21337168,0.4230769230769231
A23,2,T15,Control,10000ms,26,0.7100015,0.17471069,0.2899985,0.17471069,0.11538461538461539
A23,3,T0,Control,10000ms,16,0.37693357,0.29014817,0.6230664,0.29014817,0.625
A23,3,T15,Control,10000ms,16,0.71669036,0.16544057,0.28330964,0.16544057,0.1875
A7,1,T0,Control,0ms,2,0.34974003,0.49120593,0.65026,0.49120596,0.5
A7,1,T15,Control,0ms,2,0.36450207,0.51428884,0.6354979,0.51428884,0.5
A7,2,T0,Control,10000ms,19,0.23623602,0.27724323,0.76376396,0.27724323,0.7894736842105263
A7,2,T15,Control,10000ms,19,0.4690138,0.30971935,0.5309862,0.30971935,0.3684210526315789
A7,3,T0,Control,10000ms,25,0.28175426,0.27126452,0.71824574,0.27126452,0.76
A7,3,T15,Control,10000ms,25,0.5097951,0.28795412,0.4902049,0.28795412,0.44
A7,4,T0,Control,0ms,10,0.31544682,0.25897452,0.6845532,0.25897452,0.7
A7,4,T15,Control,0ms,10,0.5458514,0.27041185,0.4541486,0.27041182,0.4
B11,1,T0,Control,0ms,10,0.49100485,0.25297225,0.5089952,0.25297225,0.4
B11,1,T15,Control,0ms,10,0.71350706,0.104700975,0.28649294,0.10470097,0.1
B11,2,T0,Control,10000ms,15,0.44643557,0.24737884,0.55356437,0.24737884,0.5333333333333333
B11,2,T15,Control,10000ms,15,0.6646212,0.15128775,0.33537886,0.15128773,0.2
B11,3,T0,Control,10000ms,24,0.4673756,0.26259965,0.5326244,0.26259965,0.3333333333333333
B11,3,T15,Control,10000ms,24,0.67026776,0.1607125,0.3297323,0.16071248,0.16666666666666666
B11,4,T0,Control,0ms,15,0.4804242,0.2699268,0.51957583,0.2699268,0.4
B11,4,T15,Control,0ms,15,0.7485132,0.090055645,0.2514868,0.09005566,0.0
B23,1,T0,Control,0ms,13,0.50386775,0.23883408,0.49613222,0.23883408,0.38461538461538464
B23,1,T15,Control,0ms,13,0.7190603,0.09308776,0.28093964,0.09308774,0.0
B23,2,T0,Control,10000ms,11,0.46753216,0.24477826,0.53246784,0.24477825,0.5454545454545454
B23,2,T15,Control,10000ms,11,0.6902134,0.15788424,0.30978662,0.15788424,0.09090909090909091
B23,3,T0,Control,10000ms,25,0.4667849,0.17522849,0.5332151,0.17522849,0.48
B23,3,T15,Control,10000ms,25,0.7001041,0.1376679,0.29989582,0.1376679,0.04
B23,4,T0,Control,0ms,23,0.38870376,0.25067323,0.61129624,0.25067323,0.6521739130434783
B23,4,T15,Control,0ms,23,0.6449639,0.22262578,0.35503608,0.22262578,0.2608695652173913
B3,1,T0,Control,0ms,14,0.3864587,0.30037487,0.6135413,0.30037487,0.5714285714285714
B3,1,T15,Control,0ms,14,0.63221216,0.25284883,0.3677878,0.2528488,0.2857142857142857
B3,2,T0,Control,10000ms,37,0.43554193,0.26370066,0.5644581,0.26370063,0.43243243243243246
B3,2,T15,Control,10000ms,37,0.6290705,0.2051209,0.37092945,0.20512092,0.24324324324324326
B3,3,T0,Control,10000ms,37,0.43566132,0.23266514,0.5643387,0.23266514,0.5135135135135135
B3,3,T15,Control,10000ms,37,0.61936504,0.22958809,0.38063496,0.22958809,0.21621621621621623
B3,4,T0,Control,0ms,24,0.34142056,0.28097185,0.65857947,0.28097185,0.6666666666666666
B3,4,T15,Control,0ms,24,0.60432106,0.24176043,0.39567897,0.24176045,0.25
C23,1,T0,APPV717I,0ms,12,0.34112784,0.25794145,0.6588721,0.25794145,0.6666666666666666
C23,1,T15,APPV717I,0ms,12,0.6267777,0.3116343,0.37322226,0.3116343,0.25
C23,2,T0,APPV717I,10000ms,27,0.38693392,0.23971756,0.6130661,0.23971756,0.6296296296296297
C23,2,T15,APPV717I,10000ms,27,0.6536759,0.22922099,0.34632412,0.22922099,0.2222222222222222
C23,3,T0,APPV717I,10000ms,47,0.38370684,0.28475013,0.61629313,0.28475013,0.5957446808510638
C23,3,T15,APPV717I,10000ms,47,0.59294873,0.29355428,0.40705124,0.29355428,0.2553191489361702
C23,4,T0,APPV717I,0ms,29,0.375224,0.29662868,0.624776,0.29662868,0.5862068965517241
C23,4,T15,APPV717I,0ms,29,0.6144243,0.2786615,0.38557568,0.2786615,0.20689655172413793
C4,1,T0,APPV717I,0ms,9,0.3576596,0.33371097,0.6423404,0.33371097,0.4444444444444444
C4,1,T15,APPV717I,0ms,9,0.5024595,0.29885435,0.49754047,0.29885435,0.2222222222222222
C4,2,T0,APPV717I,10000ms,40,0.28495347,0.24683605,0.7150465,0.24683604,0.8
C4,2,T15,APPV717I,10000ms,40,0.46570772,0.34007585,0.5342923,0.34007585,0.4
C4,3,T0,APPV717I,10000ms,46,0.3328989,0.28076592,0.6671011,0.28076592,0.6304347826086957
C4,3,T15,APPV717I,10000ms,46,0.5415323,0.3250258,0.45846772,0.32502577,0.2608695652173913
C4,4,T0,APPV717I,0ms,25,0.410096,0.26278096,0.589904,0.26278093,0.44
C4,4,T15,APPV717I,0ms,25,0.6306368,0.2781688,0.36936322,0.2781688,0.2
C7,1,T0,APPV717I,0ms,13,0.58462185,0.19363669,0.4153781,0.19363667,0.15384615384615385
C7,1,T15,APPV717I,0ms,13,0.6957531,0.20860876,0.3042469,0.20860876,0.07692307692307693
C7,2,T0,APPV717I,10000ms,36,0.45370647,0.27347597,0.5462935,0.27347597,0.4444444444444444
C7,2,T15,APPV717I,10000ms,36,0.6486881,0.2213419,0.35131192,0.2213419,0.1388888888888889
C7,3,T0,APPV717I,10000ms,36,0.4421723,0.2771628,0.5578277,0.2771628,0.4166666666666667
C7,3,T15,APPV717I,10000ms,36,0.69295,0.15680552,0.30704996,0.15680552,0.1111111111111111
C7,4,T0,APPV717I,0ms,24,0.4267598,0.2896264,0.5732402,0.2896264,0.4166666666666667
C7,4,T15,APPV717I,0ms,24,0.65438277,0.24721041,0.3456172,0.24721043,0.16666666666666666
D11,1,T0,APPV717I,0ms,9,0.60604215,0.14650628,0.39395785,0.14650628,0.3333333333333333
D11,1,T15,APPV717I,0ms,9,0.67807144,0.23607446,0.32192856,0.23607448,0.1111111111111111
D11,2,T0,APPV717I,10000ms,32,0.52731425,0.2506116,0.47268572,0.2506116,0.3125
D11,2,T15,APPV717I,10000ms,32,0.7320756,0.127926,0.26792443,0.127926,0.125
D11,3,T0,APPV717I,10000ms,39,0.5098982,0.21690504,0.49010178,0.21690506,0.4358974358974359
D11,3,T15,APPV717I,10000ms,39,0.7652527,0.080415696,0.2347473,0.0804157,0.02564102564102564
D11,4,T0,APPV717I,0ms,46,0.50595826,0.24641484,0.49404174,0.24641484,0.41304347826086957
D11,4,T15,APPV717I,0ms,46,0.7436562,0.108508006,0.25634375,0.10850801,0.043478260869565216
D4,1,T0,APPV717I,0ms,24,0.32321063,0.30969262,0.67678934,0.30969262,0.5416666666666666
D4,1,T15,APPV717I,0ms,24,0.47632924,0.33472496,0.5236708,0.33472496,0.3333333333333333
D4,2,T0,APPV717I,10000ms,42,0.33401448,0.27854988,0.6659856,0.27854988,0.6428571428571429
D4,2,T15,APPV717I,10000ms,42,0.46057242,0.31531516,0.53942764,0.31531516,0.47619047619047616
D4,3,T0,APPV717I,10000ms,42,0.30611134,0.28350782,0.69388866,0.2835078,0.6666666666666666
D4,3,T15,APPV717I,10000ms,42,0.51046073,0.31914043,0.48953924,0.31914043,0.30952380952380953
D4,4,T0,APPV717I,0ms,36,0.30948666,0.2781395,0.6905134,0.27813947,0.6944444444444444
