well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A11,1,T0,Control,0ms,6,0.18570499,0.2446409,0.81429505,0.2446409,0.8333333333333334
A11,1,T15,Control,0ms,6,0.8090059,0.19431734,0.19099413,0.19431736,0.16666666666666666
A11,2,T0,Control,10000ms,11,0.13765691,0.13865645,0.8623431,0.13865645,1.0
A11,2,T15,Control,10000ms,11,0.9557549,0.09476807,0.044245135,0.09476807,0.0
A11,3,T0,Control,10000ms,26,0.16877031,0.26315638,0.8312296,0.26315638,0.9230769230769231
A11,3,T15,Control,10000ms,26,0.74983823,0.30284548,0.2501618,0.30284545,0.2692307692307692
A11,4,T0,Control,0ms,22,0.16172226,0.28568769,0.83827776,0.28568769,0.8181818181818182
A11,4,T15,Control,0ms,22,0.7415699,0.2881338,0.25843015,0.28813383,0.22727272727272727
A23,1,T0,Control,0ms,18,0.22813135,0.30242562,0.77186865,0.30242562,0.8333333333333334
A23,1,T15,Control,0ms,18,0.79276454,0.30308235,0.20723543,0.30308235,0.2222222222222222
A23,2,T0,Control,10000ms,26,0.2182872,0.2913088,0.78171283,0.2913088,0.8076923076923077
A23,2,T15,Control,10000ms,26,0.72868264,0.32169113,0.27131736,0.32169113,0.23076923076923078
A23,3,T0,Control,10000ms,16,0.119681,0.2648287,0.880319,0.2648287,0.875
A23,3,T15,Control,10000ms,16,0.8176838,0.27345237,0.18231618,0.27345237,0.1875
A7,1,T0,Control,0ms,2,0.4998371,0.70684403,0.5001629,0.70684403,0.5
A7,1,T15,Control,0ms,2,0.92297864,0.10882603,0.07702138,0.10882603,0.0
A7,2,T0,Control,10000ms,19,0.41857067,0.41277534,0.5814293,0.41277534,0.5789473684210527
A7,2,T15,Control,10000ms,19,0.9118387,0.12431481,0.08816123,0.1243148,0.0
A7,3,T0,Control,10000ms,25,0.3522767,0.42376924,0.6477233,0.4237692,0.68
A7,3,T15,Control,10000ms,25,0.86081374,0.27209592,0.1391863,0.27209592,0.12
A7,4,T0,Control,0ms,10,0.32462412,0.45092827,0.6753759,0.45092827,0.7
A7,4,T15,Control,0ms,10,0.81745565,0.20763852,0.18254435,0.2076385,0.2
B11,1,T0,Control,0ms,10,0.17952392,0.2756268,0.8204762,0.2756268,0.9
B11,1,T15,Control,0ms,10,0.610624,0.38988352,0.38937595,0.38988352,0.3
B11,2,T0,Control,10000ms,15,0.13184908,0.23557775,0.8681509,0.23557775,0.8666666666666667
B11,2,T15,Control,10000ms,15,0.80084455,0.2804569,0.19915542,0.2804569,0.13333333333333333
B11,3,T0,Control,10000ms,24,0.21900313,0.31580886,0.78099686,0.3158089,0.7916666666666666
B11,3,T15,Control,10000ms,24,0.8194211,0.27395463,0.18057884,0.27395463,0.125
B11,4,T0,Control,0ms,15,0.2153047,0.3835165,0.7846953,0.3835165,0.8
B11,4,T15,Control,0ms,15,0.7657506,0.3425836,0.23424941,0.3425836,0.26666666666666666
B23,1,T0,Control,0ms,13,0.21891473,0.3254841,0.78108525,0.32548413,0.7692307692307693
B23,1,T15,Control,0ms,13,0.8077842,0.29240406,0.19221577,0.29240403,0.23076923076923078
B23,2,T0,Control,10000ms,11,0.41761467,0.41204527,0.58238536,0.41204527,0.5454545454545454
B23,2,T15,Control,10000ms,11,0.7539164,0.36022335,0.2460836,0.36022335,0.2727272727272727
B23,3,T0,Control,10000ms,25,0.24671938,0.30448923,0.75328064,0.30448925,0.76
B23,3,T15,Control,10000ms,25,0.858518,0.2410477,0.14148201,0.2410477,0.08
B23,4,T0,Control,0ms,23,0.24241114,0.31825423,0.75758886,0.31825423,0.8260869565217391
B23,4,T15,Control,0ms,23,0.81475896,0.23723486,0.18524107,0.23723486,0.13043478260869565
B3,1,T0,Control,0ms,14,0.2914195,0.37051126,0.7085805,0.37051126,0.7857142857142857
B3,1,T15,Control,0ms,14,0.79346764,0.2699011,0.20653236,0.2699011,0.14285714285714285
B3,2,T0,Control,10000ms,37,0.31418905,0.35392556,0.685811,0.35392556,0.6756756756756757
B3,2,T15,Control,10000ms,37,0.77063483,0.31674367,0.22936517,0.31674367,0.1891891891891892
B3,3,T0,Control,10000ms,37,0.24489325,0.31958207,0.75510675,0.31958207,0.7837837837837838
B3,3,T15,Control,10000ms,37,0.7506102,0.32888636,0.2493898,0.32888636,0.2702702702702703
B3,4,T0,Control,0ms,24,0.28235805,0.36344704,0.717642,0.36344704,0.75
B3,4,T15,Control,0ms,24,0.71587104,0.35103253,0.28412896,0.35103253,0.2916666666666667
