well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A11,1,T0,Control,0ms,6,0.007515507,0.01318544,0.9924845,0.01318543,1.0
A11,1,T15,Control,0ms,6,0.9999993,1.7520116e-06,7.073323e-07,1.7314254e-06,0.0
A11,2,T0,Control,10000ms,11,0.027614517,0.09044328,0.97238547,0.09044328,1.0
A11,2,T15,Control,10000ms,11,0.9999998,3.9927428e-07,1.4694412e-07,3.8765592e-07,0.0
A11,3,T0,Control,10000ms,26,0.013170601,0.045128897,0.9868294,0.045128893,1.0
A11,3,T15,Control,10000ms,26,0.9999452,0.00027477098,5.4832974e-05,0.00027477834,0.0
A11,4,T0,Control,0ms,22,0.0018094463,0.006468696,0.9981905,0.0064687,1.0
A11,4,T15,Control,0ms,22,0.9988544,0.003862652,0.0011456056,0.0038626462,0.0
A23,1,T0,Control,0ms,18,0.07225247,0.24104646,0.9277475,0.24104644,0.9444444444444444
A23,1,T15,Control,0ms,18,0.99922305,0.0032958332,0.0007768662,0.0032958281,0.0
A23,2,T0,Control,10000ms,26,0.077090666,0.2641873,0.9229094,0.2641873,0.9230769230769231
A23,2,T15,Control,10000ms,26,0.9999685,0.0001223297,3.149816e-05,0.00012233767,0.0
A23,3,T0,Control,10000ms,16,0.0031696756,0.009379989,0.9968303,0.009379988,1.0
A23,3,T15,Control,10000ms,16,0.99976605,0.00093509175,0.00023395447,0.0009350881,0.0
A7,1,T0,Control,0ms,2,0.0024055352,0.0034016746,0.9975944,0.0034016722,1.0
A7,1,T15,Control,0ms,2,0.75772035,0.34263515,0.24227962,0.34263512,0.0
A7,2,T0,Control,10000ms,19,0.16337982,0.35861695,0.83662015,0.35861695,0.8421052631578947
A7,2,T15,Control,10000ms,19,0.9931673,0.027362294,0.0068327487,0.027362293,0.0
A7,3,T0,Control,10000ms,25,0.14312504,0.3357613,0.85687494,0.3357613,0.84
A7,3,T15,Control,10000ms,25,0.94092554,0.19605878,0.05907449,0.19605878,0.08
A7,4,T0,Control,0ms,10,0.0015753161,0.002379936,0.9984247,0.0023799269,1.0
A7,4,T15,Control,0ms,10,0.9999839,4.5518846e-05,1.6137037e-05,4.5504836e-05,0.0
B11,1,T0,Control,0ms,10,0.008862069,0.02541485,0.99113786,0.025414864,1.0
B11,1,T15,Control,0ms,10,0.99950373,0.0015499868,0.00049633667,0.0015499771,0.0
B11,2,T0,Control,10000ms,15,0.02737871,0.104792364,0.97262126,0.10479238,1.0
B11,2,T15,Control,10000ms,15,0.99334234,0.025753789,0.0066576367,0.025753789,0.0
B11,3,T0,Control,10000ms,24,0.07338506,0.18724994,0.92661494,0.18724993,0.9583333333333334
B11,3,T15,Control,10000ms,24,0.9190077,0.27447933,0.08099231,0.27447933,0.08333333333333333
B11,4,T0,Control,0ms,15,0.18149291,0.34882402,0.81850713,0.34882402,0.8
B11,4,T15,Control,0ms,15,0.99999976,8.903342e-07,2.4759183e-07,8.833566e-07,0.0
B23,1,T0,Control,0ms,13,0.0027194081,0.006224304,0.99728066,0.006224307,1.0
B23,1,T15,Control,0ms,13,0.9994971,0.0017679201,0.000502876,0.0017679004,0.0
B23,2,T0,Control,10000ms,11,0.098525524,0.2553823,0.90147454,0.2553823,0.9090909090909091
B23,2,T15,Control,10000ms,11,0.91456926,0.2824897,0.08543074,0.28248966,0.09090909090909091
B23,3,T0,Control,10000ms,25,0.018341545,0.08450681,0.98165846,0.08450682,1.0
B23,3,T15,Control,10000ms,25,0.9999423,0.000288258,5.7660392e-05,0.00028825505,0.0
B23,4,T0,Control,0ms,23,0.054215986,0.21225104,0.94578403,0.21225104,0.9565217391304348
B23,4,T15,Control,0ms,23,0.99983346,0.000798331,0.00016650904,0.0007983261,0.0
B3,1,T0,Control,0ms,14,0.023630256,0.05541134,0.97636974,0.05541134,1.0
B3,1,T15,Control,0ms,14,0.99951273,0.001473273,0.0004872616,0.0014732939,0.0
