neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary
D24_tile2_n539,APPV717I,APPV717I,DMSO,D24,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D24/A2screenPlate2_D24_2_539.h5,16,T16,15,images/RFP1/D24_tile2_n539_T15.png,images/Halo/D24_tile2_n539_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C10_tile2_n33,APPV717I,APPV717I,DMSO,C10,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C10/A2screenPlate2_C10_2_33.h5,16,T16,15,images/RFP1/C10_tile2_n33_T15.png,images/Halo/C10_tile2_n33_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C2_tile2_n52,APPV717I,APPV717I,DMSO,C2,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C2/A2screenPlate2_C2_2_52.h5,16,T16,15,images/RFP1/C2_tile2_n52_T15.png,images/Halo/C2_tile2_n52_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
D20_tile2_n358,APPV717I,APPV717I,DMSO,D20,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D20/A2screenPlate2_D20_2_358.h5,16,T16,15,images/RFP1/D20_tile2_n358_T15.png,images/Halo/D20_tile2_n358_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
D21_tile2_n168,APPV717I,APPV717I,DMSO,D21,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D21/A2screenPlate2_D21_2_168.h5,16,T16,15,images/RFP1/D21_tile2_n168_T15.png,images/Halo/D21_tile2_n168_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C7_tile3_n249,APPV717I,APPV717I,DMSO,C7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C7/A2screenPlate2_C7_3_249.h5,16,T16,15,images/RFP1/C7_tile3_n249_T15.png,images/Halo/C7_tile3_n249_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C12_tile2_n356,APPV717I,APPV717I,DMSO,C12,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C12/A2screenPlate2_C12_2_356.h5,16,T16,15,images/RFP1/C12_tile2_n356_T15.png,images/Halo/C12_tile2_n356_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
D3_tile3_n193,APPV717I,APPV717I,DMSO,D3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D3/A2screenPlate2_D3_3_193.h5,16,T16,15,images/RFP1/D3_tile3_n193_T15.png,images/Halo/D3_tile3_n193_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C21_tile3_n258,APPV717I,APPV717I,DMSO,C21,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C21/A2screenPlate2_C21_3_258.h5,16,T16,15,images/RFP1/C21_tile3_n258_T15.png,images/Halo/C21_tile3_n258_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
C3_tile3_n2,APPV717I,APPV717I,DMSO,C3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C3/A2screenPlate2_C3_3_2.h5,16,T16,15,images/RFP1/C3_tile3_n2_T15.png,images/Halo/C3_tile3_n2_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I,APPV717I
