neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label
C23_tile2_n53,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_53.h5,16,T0,0,images/RFP1/C23_tile2_n53_T0.png,images/Halo/C23_tile2_n53_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n53,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_53.h5,16,T16,15,images/RFP1/C23_tile2_n53_T15.png,images/Halo/C23_tile2_n53_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n61,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_61.h5,16,T0,0,images/RFP1/C23_tile3_n61_T0.png,images/Halo/C23_tile3_n61_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n61,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_61.h5,16,T16,15,images/RFP1/C23_tile3_n61_T15.png,images/Halo/C23_tile3_n61_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile4_n88,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_88.h5,16,T0,0,images/RFP1/C23_tile4_n88_T0.png,images/Halo/C23_tile4_n88_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n88,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_88.h5,16,T16,15,images/RFP1/C23_tile4_n88_T15.png,images/Halo/C23_tile4_n88_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile2_n252,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_252.h5,16,T0,0,images/RFP1/C23_tile2_n252_T0.png,images/Halo/C23_tile2_n252_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n252,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_252.h5,16,T16,15,images/RFP1/C23_tile2_n252_T15.png,images/Halo/C23_tile2_n252_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n33,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_33.h5,16,T0,0,images/RFP1/C23_tile3_n33_T0.png,images/Halo/C23_tile3_n33_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n33,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_33.h5,16,T16,15,images/RFP1/C23_tile3_n33_T15.png,images/Halo/C23_tile3_n33_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
