neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,rfp1_masked_path,halo_masked_path,class_label
A4_tile3_n514,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n514_T15.png,images/Halo/A4_tile3_n514_T15.png,images/RFP1_masked/A4_tile3_n514_T15.png,images/Halo_masked/A4_tile3_n514_T15.png,Control
A4_tile4_n6,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n6_T15.png,images/Halo/A4_tile4_n6_T15.png,images/RFP1_masked/A4_tile4_n6_T15.png,images/Halo_masked/A4_tile4_n6_T15.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n92_T15.png,images/Halo/A4_tile3_n92_T15.png,images/RFP1_masked/A4_tile3_n92_T15.png,images/Halo_masked/A4_tile3_n92_T15.png,Control
A4_tile1_n930,A4,1,Control,0ms,T15,15,images/RFP1/A4_tile1_n930_T15.png,images/Halo/A4_tile1_n930_T15.png,images/RFP1_masked/A4_tile1_n930_T15.png,images/Halo_masked/A4_tile1_n930_T15.png,Control
A4_tile4_n1828,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n1828_T15.png,images/Halo/A4_tile4_n1828_T15.png,images/RFP1_masked/A4_tile4_n1828_T15.png,images/Halo_masked/A4_tile4_n1828_T15.png,Control
A4_tile4_n1802,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n1802_T15.png,images/Halo/A4_tile4_n1802_T15.png,images/RFP1_masked/A4_tile4_n1802_T15.png,images/Halo_masked/A4_tile4_n1802_T15.png,Control
A4_tile2_n57,A4,2,Control,10000ms,T15,15,images/RFP1/A4_tile2_n57_T15.png,images/Halo/A4_tile2_n57_T15.png,images/RFP1_masked/A4_tile2_n57_T15.png,images/Halo_masked/A4_tile2_n57_T15.png,Control
A4_tile1_n33,A4,1,Control,0ms,T15,15,images/RFP1/A4_tile1_n33_T15.png,images/Halo/A4_tile1_n33_T15.png,images/RFP1_masked/A4_tile1_n33_T15.png,images/Halo_masked/A4_tile1_n33_T15.png,Control
A4_tile3_n112,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n112_T15.png,images/Halo/A4_tile3_n112_T15.png,images/RFP1_masked/A4_tile3_n112_T15.png,images/Halo_masked/A4_tile3_n112_T15.png,Control
A4_tile3_n208,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n208_T15.png,images/Halo/A4_tile3_n208_T15.png,images/RFP1_masked/A4_tile3_n208_T15.png,images/Halo_masked/A4_tile3_n208_T15.png,Control
