neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,rfp1_masked_path,halo_masked_path,class_label
A4_tile3_n514,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n514_T0.png,images/Halo/A4_tile3_n514_T0.png,images/RFP1_masked/A4_tile3_n514_T0.png,images/Halo_masked/A4_tile3_n514_T0.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n514_T1.png,images/Halo/A4_tile3_n514_T1.png,images/RFP1_masked/A4_tile3_n514_T1.png,images/Halo_masked/A4_tile3_n514_T1.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n514_T2.png,images/Halo/A4_tile3_n514_T2.png,images/RFP1_masked/A4_tile3_n514_T2.png,images/Halo_masked/A4_tile3_n514_T2.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n514_T3.png,images/Halo/A4_tile3_n514_T3.png,images/RFP1_masked/A4_tile3_n514_T3.png,images/Halo_masked/A4_tile3_n514_T3.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n514_T4.png,images/Halo/A4_tile3_n514_T4.png,images/RFP1_masked/A4_tile3_n514_T4.png,images/Halo_masked/A4_tile3_n514_T4.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n514_T5.png,images/Halo/A4_tile3_n514_T5.png,images/RFP1_masked/A4_tile3_n514_T5.png,images/Halo_masked/A4_tile3_n514_T5.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n514_T6.png,images/Halo/A4_tile3_n514_T6.png,images/RFP1_masked/A4_tile3_n514_T6.png,images/Halo_masked/A4_tile3_n514_T6.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n514_T7.png,images/Halo/A4_tile3_n514_T7.png,images/RFP1_masked/A4_tile3_n514_T7.png,images/Halo_masked/A4_tile3_n514_T7.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n514_T8.png,images/Halo/A4_tile3_n514_T8.png,images/RFP1_masked/A4_tile3_n514_T8.png,images/Halo_masked/A4_tile3_n514_T8.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n514_T9.png,images/Halo/A4_tile3_n514_T9.png,images/RFP1_masked/A4_tile3_n514_T9.png,images/Halo_masked/A4_tile3_n514_T9.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T10,10,images/RFP1/A4_tile3_n514_T10.png,images/Halo/A4_tile3_n514_T10.png,images/RFP1_masked/A4_tile3_n514_T10.png,images/Halo_masked/A4_tile3_n514_T10.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T11,11,images/RFP1/A4_tile3_n514_T11.png,images/Halo/A4_tile3_n514_T11.png,images/RFP1_masked/A4_tile3_n514_T11.png,images/Halo_masked/A4_tile3_n514_T11.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T12,12,images/RFP1/A4_tile3_n514_T12.png,images/Halo/A4_tile3_n514_T12.png,images/RFP1_masked/A4_tile3_n514_T12.png,images/Halo_masked/A4_tile3_n514_T12.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T13,13,images/RFP1/A4_tile3_n514_T13.png,images/Halo/A4_tile3_n514_T13.png,images/RFP1_masked/A4_tile3_n514_T13.png,images/Halo_masked/A4_tile3_n514_T13.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T14,14,images/RFP1/A4_tile3_n514_T14.png,images/Halo/A4_tile3_n514_T14.png,images/RFP1_masked/A4_tile3_n514_T14.png,images/Halo_masked/A4_tile3_n514_T14.png,Control
A4_tile3_n514,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n514_T15.png,images/Halo/A4_tile3_n514_T15.png,images/RFP1_masked/A4_tile3_n514_T15.png,images/Halo_masked/A4_tile3_n514_T15.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n92_T0.png,images/Halo/A4_tile3_n92_T0.png,images/RFP1_masked/A4_tile3_n92_T0.png,images/Halo_masked/A4_tile3_n92_T0.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n92_T1.png,images/Halo/A4_tile3_n92_T1.png,images/RFP1_masked/A4_tile3_n92_T1.png,images/Halo_masked/A4_tile3_n92_T1.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n92_T2.png,images/Halo/A4_tile3_n92_T2.png,images/RFP1_masked/A4_tile3_n92_T2.png,images/Halo_masked/A4_tile3_n92_T2.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n92_T3.png,images/Halo/A4_tile3_n92_T3.png,images/RFP1_masked/A4_tile3_n92_T3.png,images/Halo_masked/A4_tile3_n92_T3.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n92_T4.png,images/Halo/A4_tile3_n92_T4.png,images/RFP1_masked/A4_tile3_n92_T4.png,images/Halo_masked/A4_tile3_n92_T4.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n92_T5.png,images/Halo/A4_tile3_n92_T5.png,images/RFP1_masked/A4_tile3_n92_T5.png,images/Halo_masked/A4_tile3_n92_T5.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n92_T6.png,images/Halo/A4_tile3_n92_T6.png,images/RFP1_masked/A4_tile3_n92_T6.png,images/Halo_masked/A4_tile3_n92_T6.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n92_T7.png,images/Halo/A4_tile3_n92_T7.png,images/RFP1_masked/A4_tile3_n92_T7.png,images/Halo_masked/A4_tile3_n92_T7.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n92_T8.png,images/Halo/A4_tile3_n92_T8.png,images/RFP1_masked/A4_tile3_n92_T8.png,images/Halo_masked/A4_tile3_n92_T8.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n92_T9.png,images/Halo/A4_tile3_n92_T9.png,images/RFP1_masked/A4_tile3_n92_T9.png,images/Halo_masked/A4_tile3_n92_T9.png,Control
