neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,rfp1_masked_path,halo_masked_path,class_label
A4_tile4_n6,A4,4,Control,0ms,T0,0,images/RFP1/A4_tile4_n6_T0.png,images/Halo/A4_tile4_n6_T0.png,images/RFP1_masked/A4_tile4_n6_T0.png,images/Halo_masked/A4_tile4_n6_T0.png,Control
A4_tile4_n6,A4,4,Control,0ms,T1,1,images/RFP1/A4_tile4_n6_T1.png,images/Halo/A4_tile4_n6_T1.png,images/RFP1_masked/A4_tile4_n6_T1.png,images/Halo_masked/A4_tile4_n6_T1.png,Control
A4_tile4_n6,A4,4,Control,0ms,T2,2,images/RFP1/A4_tile4_n6_T2.png,images/Halo/A4_tile4_n6_T2.png,images/RFP1_masked/A4_tile4_n6_T2.png,images/Halo_masked/A4_tile4_n6_T2.png,Control
A4_tile4_n6,A4,4,Control,0ms,T3,3,images/RFP1/A4_tile4_n6_T3.png,images/Halo/A4_tile4_n6_T3.png,images/RFP1_masked/A4_tile4_n6_T3.png,images/Halo_masked/A4_tile4_n6_T3.png,Control
A4_tile4_n6,A4,4,Control,0ms,T4,4,images/RFP1/A4_tile4_n6_T4.png,images/Halo/A4_tile4_n6_T4.png,images/RFP1_masked/A4_tile4_n6_T4.png,images/Halo_masked/A4_tile4_n6_T4.png,Control
A4_tile4_n6,A4,4,Control,0ms,T5,5,images/RFP1/A4_tile4_n6_T5.png,images/Halo/A4_tile4_n6_T5.png,images/RFP1_masked/A4_tile4_n6_T5.png,images/Halo_masked/A4_tile4_n6_T5.png,Control
A4_tile4_n6,A4,4,Control,0ms,T6,6,images/RFP1/A4_tile4_n6_T6.png,images/Halo/A4_tile4_n6_T6.png,images/RFP1_masked/A4_tile4_n6_T6.png,images/Halo_masked/A4_tile4_n6_T6.png,Control
A4_tile4_n6,A4,4,Control,0ms,T7,7,images/RFP1/A4_tile4_n6_T7.png,images/Halo/A4_tile4_n6_T7.png,images/RFP1_masked/A4_tile4_n6_T7.png,images/Halo_masked/A4_tile4_n6_T7.png,Control
A4_tile4_n6,A4,4,Control,0ms,T8,8,images/RFP1/A4_tile4_n6_T8.png,images/Halo/A4_tile4_n6_T8.png,images/RFP1_masked/A4_tile4_n6_T8.png,images/Halo_masked/A4_tile4_n6_T8.png,Control
A4_tile4_n6,A4,4,Control,0ms,T9,9,images/RFP1/A4_tile4_n6_T9.png,images/Halo/A4_tile4_n6_T9.png,images/RFP1_masked/A4_tile4_n6_T9.png,images/Halo_masked/A4_tile4_n6_T9.png,Control
A4_tile4_n6,A4,4,Control,0ms,T10,10,images/RFP1/A4_tile4_n6_T10.png,images/Halo/A4_tile4_n6_T10.png,images/RFP1_masked/A4_tile4_n6_T10.png,images/Halo_masked/A4_tile4_n6_T10.png,Control
A4_tile4_n6,A4,4,Control,0ms,T11,11,images/RFP1/A4_tile4_n6_T11.png,images/Halo/A4_tile4_n6_T11.png,images/RFP1_masked/A4_tile4_n6_T11.png,images/Halo_masked/A4_tile4_n6_T11.png,Control
A4_tile4_n6,A4,4,Control,0ms,T12,12,images/RFP1/A4_tile4_n6_T12.png,images/Halo/A4_tile4_n6_T12.png,images/RFP1_masked/A4_tile4_n6_T12.png,images/Halo_masked/A4_tile4_n6_T12.png,Control
A4_tile4_n6,A4,4,Control,0ms,T13,13,images/RFP1/A4_tile4_n6_T13.png,images/Halo/A4_tile4_n6_T13.png,images/RFP1_masked/A4_tile4_n6_T13.png,images/Halo_masked/A4_tile4_n6_T13.png,Control
A4_tile4_n6,A4,4,Control,0ms,T14,14,images/RFP1/A4_tile4_n6_T14.png,images/Halo/A4_tile4_n6_T14.png,images/RFP1_masked/A4_tile4_n6_T14.png,images/Halo_masked/A4_tile4_n6_T14.png,Control
A4_tile4_n6,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n6_T15.png,images/Halo/A4_tile4_n6_T15.png,images/RFP1_masked/A4_tile4_n6_T15.png,images/Halo_masked/A4_tile4_n6_T15.png,Control
A4_tile1_n930,A4,1,Control,0ms,T0,0,images/RFP1/A4_tile1_n930_T0.png,images/Halo/A4_tile1_n930_T0.png,images/RFP1_masked/A4_tile1_n930_T0.png,images/Halo_masked/A4_tile1_n930_T0.png,Control
A4_tile1_n930,A4,1,Control,0ms,T1,1,images/RFP1/A4_tile1_n930_T1.png,images/Halo/A4_tile1_n930_T1.png,images/RFP1_masked/A4_tile1_n930_T1.png,images/Halo_masked/A4_tile1_n930_T1.png,Control
