neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,rfp1_masked_path,halo_masked_path,class_label
A4_tile3_n514,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n514_T0.png,images/Halo/A4_tile3_n514_T0.png,images/RFP1_masked/A4_tile3_n514_T0.png,images/Halo_masked/A4_tile3_n514_T0.png,T0
A4_tile3_n92,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n92_T0.png,images/Halo/A4_tile3_n92_T0.png,images/RFP1_masked/A4_tile3_n92_T0.png,images/Halo_masked/A4_tile3_n92_T0.png,T0
A4_tile2_n57,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n57_T0.png,images/Halo/A4_tile2_n57_T0.png,images/RFP1_masked/A4_tile2_n57_T0.png,images/Halo_masked/A4_tile2_n57_T0.png,T0
A4_tile3_n112,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n112_T0.png,images/Halo/A4_tile3_n112_T0.png,images/RFP1_masked/A4_tile3_n112_T0.png,images/Halo_masked/A4_tile3_n112_T0.png,T0
A4_tile3_n208,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n208_T0.png,images/Halo/A4_tile3_n208_T0.png,images/RFP1_masked/A4_tile3_n208_T0.png,images/Halo_masked/A4_tile3_n208_T0.png,T0
A4_tile2_n3,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n3_T0.png,images/Halo/A4_tile2_n3_T0.png,images/RFP1_masked/A4_tile2_n3_T0.png,images/Halo_masked/A4_tile2_n3_T0.png,T0
A4_tile2_n66,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n66_T0.png,images/Halo/A4_tile2_n66_T0.png,images/RFP1_masked/A4_tile2_n66_T0.png,images/Halo_masked/A4_tile2_n66_T0.png,T0
A4_tile3_n101,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n101_T0.png,images/Halo/A4_tile3_n101_T0.png,images/RFP1_masked/A4_tile3_n101_T0.png,images/Halo_masked/A4_tile3_n101_T0.png,T0
A4_tile3_n562,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n562_T0.png,images/Halo/A4_tile3_n562_T0.png,images/RFP1_masked/A4_tile3_n562_T0.png,images/Halo_masked/A4_tile3_n562_T0.png,T0
A4_tile3_n530,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n530_T0.png,images/Halo/A4_tile3_n530_T0.png,images/RFP1_masked/A4_tile3_n530_T0.png,images/Halo_masked/A4_tile3_n530_T0.png,T0
A4_tile2_n5,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n5_T0.png,images/Halo/A4_tile2_n5_T0.png,images/RFP1_masked/A4_tile2_n5_T0.png,images/Halo_masked/A4_tile2_n5_T0.png,T0
A4_tile3_n162,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n162_T0.png,images/Halo/A4_tile3_n162_T0.png,images/RFP1_masked/A4_tile3_n162_T0.png,images/Halo_masked/A4_tile3_n162_T0.png,T0
A4_tile2_n62,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n62_T0.png,images/Halo/A4_tile2_n62_T0.png,images/RFP1_masked/A4_tile2_n62_T0.png,images/Halo_masked/A4_tile2_n62_T0.png,T0
A4_tile2_n177,A4,2,Control,10000ms,T0,0,images/RFP1/A4_tile2_n177_T0.png,images/Halo/A4_tile2_n177_T0.png,images/RFP1_masked/A4_tile2_n177_T0.png,images/Halo_masked/A4_tile2_n177_T0.png,T0
A4_tile3_n2,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n2_T0.png,images/Halo/A4_tile3_n2_T0.png,images/RFP1_masked/A4_tile3_n2_T0.png,images/Halo_masked/A4_tile3_n2_T0.png,T0
A4_tile3_n500,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n500_T0.png,images/Halo/A4_tile3_n500_T0.png,images/RFP1_masked/A4_tile3_n500_T0.png,images/Halo_masked/A4_tile3_n500_T0.png,T0
