neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
A4_tile3_n514,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n514_T0.png,images/Halo/A4_tile3_n514_T0.png,unknown,unknown,0.67232317,0.3276768,0
A4_tile3_n514,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n514_T1.png,images/Halo/A4_tile3_n514_T1.png,unknown,unknown,0.6316226,0.36837742,0
A4_tile3_n514,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n514_T2.png,images/Halo/A4_tile3_n514_T2.png,unknown,unknown,0.64846426,0.35153577,0
A4_tile3_n514,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n514_T3.png,images/Halo/A4_tile3_n514_T3.png,unknown,unknown,0.5627154,0.4372846,0
A4_tile3_n514,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n514_T4.png,images/Halo/A4_tile3_n514_T4.png,unknown,unknown,0.5065993,0.49340063,0
A4_tile3_n514,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n514_T5.png,images/Halo/A4_tile3_n514_T5.png,unknown,unknown,0.5168465,0.48315352,0
A4_tile3_n514,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n514_T6.png,images/Halo/A4_tile3_n514_T6.png,unknown,unknown,0.5250898,0.47491017,0
A4_tile3_n514,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n514_T7.png,images/Halo/A4_tile3_n514_T7.png,unknown,unknown,0.6305938,0.36940622,0
A4_tile3_n514,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n514_T8.png,images/Halo/A4_tile3_n514_T8.png,unknown,unknown,0.66128576,0.33871427,0
A4_tile3_n514,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n514_T9.png,images/Halo/A4_tile3_n514_T9.png,unknown,unknown,0.6369906,0.36300936,0
A4_tile3_n514,A4,3,Control,10000ms,T10,10,images/RFP1/A4_tile3_n514_T10.png,images/Halo/A4_tile3_n514_T10.png,unknown,unknown,0.6105044,0.3894956,0
A4_tile3_n514,A4,3,Control,10000ms,T11,11,images/RFP1/A4_tile3_n514_T11.png,images/Halo/A4_tile3_n514_T11.png,unknown,unknown,0.4900935,0.50990653,1
A4_tile3_n514,A4,3,Control,10000ms,T12,12,images/RFP1/A4_tile3_n514_T12.png,images/Halo/A4_tile3_n514_T12.png,unknown,unknown,0.4283746,0.5716255,1
A4_tile3_n514,A4,3,Control,10000ms,T13,13,images/RFP1/A4_tile3_n514_T13.png,images/Halo/A4_tile3_n514_T13.png,unknown,unknown,0.47520658,0.5247934,1
A4_tile3_n514,A4,3,Control,10000ms,T14,14,images/RFP1/A4_tile3_n514_T14.png,images/Halo/A4_tile3_n514_T14.png,unknown,unknown,0.5815657,0.4184343,0
A4_tile3_n514,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n514_T15.png,images/Halo/A4_tile3_n514_T15.png,unknown,unknown,0.55920976,0.44079027,0
A4_tile4_n6,A4,4,Control,0ms,T0,0,images/RFP1/A4_tile4_n6_T0.png,images/Halo/A4_tile4_n6_T0.png,unknown,unknown,0.4904592,0.5095408,1
A4_tile4_n6,A4,4,Control,0ms,T1,1,images/RFP1/A4_tile4_n6_T1.png,images/Halo/A4_tile4_n6_T1.png,unknown,unknown,0.6323525,0.3676475,0
A4_tile4_n6,A4,4,Control,0ms,T2,2,images/RFP1/A4_tile4_n6_T2.png,images/Halo/A4_tile4_n6_T2.png,unknown,unknown,0.6675391,0.33246094,0
A4_tile4_n6,A4,4,Control,0ms,T3,3,images/RFP1/A4_tile4_n6_T3.png,images/Halo/A4_tile4_n6_T3.png,unknown,unknown,0.61418444,0.38581556,0
A4_tile4_n6,A4,4,Control,0ms,T4,4,images/RFP1/A4_tile4_n6_T4.png,images/Halo/A4_tile4_n6_T4.png,unknown,unknown,0.69779694,0.30220306,0
A4_tile4_n6,A4,4,Control,0ms,T5,5,images/RFP1/A4_tile4_n6_T5.png,images/Halo/A4_tile4_n6_T5.png,unknown,unknown,0.6780347,0.32196528,0
A4_tile4_n6,A4,4,Control,0ms,T6,6,images/RFP1/A4_tile4_n6_T6.png,images/Halo/A4_tile4_n6_T6.png,unknown,unknown,0.50145704,0.49854296,0
A4_tile4_n6,A4,4,Control,0ms,T7,7,images/RFP1/A4_tile4_n6_T7.png,images/Halo/A4_tile4_n6_T7.png,unknown,unknown,0.62422955,0.3757704,0
A4_tile4_n6,A4,4,Control,0ms,T8,8,images/RFP1/A4_tile4_n6_T8.png,images/Halo/A4_tile4_n6_T8.png,unknown,unknown,0.66018337,0.3398167,0
A4_tile4_n6,A4,4,Control,0ms,T9,9,images/RFP1/A4_tile4_n6_T9.png,images/Halo/A4_tile4_n6_T9.png,unknown,unknown,0.74475056,0.2552494,0
A4_tile4_n6,A4,4,Control,0ms,T10,10,images/RFP1/A4_tile4_n6_T10.png,images/Halo/A4_tile4_n6_T10.png,unknown,unknown,0.75126076,0.2487392,0
A4_tile4_n6,A4,4,Control,0ms,T11,11,images/RFP1/A4_tile4_n6_T11.png,images/Halo/A4_tile4_n6_T11.png,unknown,unknown,0.7288251,0.27117494,0
A4_tile4_n6,A4,4,Control,0ms,T12,12,images/RFP1/A4_tile4_n6_T12.png,images/Halo/A4_tile4_n6_T12.png,unknown,unknown,0.48671782,0.5132822,1
A4_tile4_n6,A4,4,Control,0ms,T13,13,images/RFP1/A4_tile4_n6_T13.png,images/Halo/A4_tile4_n6_T13.png,unknown,unknown,0.5307924,0.46920758,0
A4_tile4_n6,A4,4,Control,0ms,T14,14,images/RFP1/A4_tile4_n6_T14.png,images/Halo/A4_tile4_n6_T14.png,unknown,unknown,0.5410555,0.4589445,0
A4_tile4_n6,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n6_T15.png,images/Halo/A4_tile4_n6_T15.png,unknown,unknown,0.39966264,0.6003374,1
A4_tile3_n92,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n92_T0.png,images/Halo/A4_tile3_n92_T0.png,unknown,unknown,0.43307194,0.5669281,1
A4_tile3_n92,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n92_T1.png,images/Halo/A4_tile3_n92_T1.png,unknown,unknown,0.43660617,0.5633938,1
A4_tile3_n92,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n92_T2.png,images/Halo/A4_tile3_n92_T2.png,unknown,unknown,0.37511948,0.62488055,1
A4_tile3_n92,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n92_T3.png,images/Halo/A4_tile3_n92_T3.png,unknown,unknown,0.48317632,0.5168237,1
A4_tile3_n92,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n92_T4.png,images/Halo/A4_tile3_n92_T4.png,unknown,unknown,0.4694808,0.5305192,1
A4_tile3_n92,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n92_T5.png,images/Halo/A4_tile3_n92_T5.png,unknown,unknown,0.42176756,0.5782324,1
A4_tile3_n92,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n92_T6.png,images/Halo/A4_tile3_n92_T6.png,unknown,unknown,0.5118057,0.48819435,0
A4_tile3_n92,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n92_T7.png,images/Halo/A4_tile3_n92_T7.png,unknown,unknown,0.5620671,0.4379329,0
A4_tile3_n92,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n92_T8.png,images/Halo/A4_tile3_n92_T8.png,unknown,unknown,0.62530416,0.37469584,0
A4_tile3_n92,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n92_T9.png,images/Halo/A4_tile3_n92_T9.png,unknown,unknown,0.63821566,0.3617844,0
A4_tile3_n92,A4,3,Control,10000ms,T10,10,images/RFP1/A4_tile3_n92_T10.png,images/Halo/A4_tile3_n92_T10.png,unknown,unknown,0.62633216,0.3736679,0
A4_tile3_n92,A4,3,Control,10000ms,T11,11,images/RFP1/A4_tile3_n92_T11.png,images/Halo/A4_tile3_n92_T11.png,unknown,unknown,0.5278237,0.47217628,0
A4_tile3_n92,A4,3,Control,10000ms,T12,12,images/RFP1/A4_tile3_n92_T12.png,images/Halo/A4_tile3_n92_T12.png,unknown,unknown,0.4486625,0.55133754,1
A4_tile3_n92,A4,3,Control,10000ms,T13,13,images/RFP1/A4_tile3_n92_T13.png,images/Halo/A4_tile3_n92_T13.png,unknown,unknown,0.5780993,0.4219007,0
A4_tile3_n92,A4,3,Control,10000ms,T14,14,images/RFP1/A4_tile3_n92_T14.png,images/Halo/A4_tile3_n92_T14.png,unknown,unknown,0.4367088,0.5632912,1
A4_tile3_n92,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n92_T15.png,images/Halo/A4_tile3_n92_T15.png,unknown,unknown,0.3924431,0.60755694,1
A4_tile1_n930,A4,1,Control,0ms,T0,0,images/RFP1/A4_tile1_n930_T0.png,images/Halo/A4_tile1_n930_T0.png,unknown,unknown,0.80525416,0.19474587,0
A4_tile1_n930,A4,1,Control,0ms,T1,1,images/RFP1/A4_tile1_n930_T1.png,images/Halo/A4_tile1_n930_T1.png,unknown,unknown,0.7984702,0.20152977,0
A4_tile1_n930,A4,1,Control,0ms,T2,2,images/RFP1/A4_tile1_n930_T2.png,images/Halo/A4_tile1_n930_T2.png,unknown,unknown,0.7641513,0.23584878,0
A4_tile1_n930,A4,1,Control,0ms,T3,3,images/RFP1/A4_tile1_n930_T3.png,images/Halo/A4_tile1_n930_T3.png,unknown,unknown,0.8188194,0.18118067,0
A4_tile1_n930,A4,1,Control,0ms,T4,4,images/RFP1/A4_tile1_n930_T4.png,images/Halo/A4_tile1_n930_T4.png,unknown,unknown,0.797991,0.202009,0
A4_tile1_n930,A4,1,Control,0ms,T5,5,images/RFP1/A4_tile1_n930_T5.png,images/Halo/A4_tile1_n930_T5.png,unknown,unknown,0.7512619,0.2487381,0
A4_tile1_n930,A4,1,Control,0ms,T6,6,images/RFP1/A4_tile1_n930_T6.png,images/Halo/A4_tile1_n930_T6.png,unknown,unknown,0.7203988,0.27960125,0
A4_tile1_n930,A4,1,Control,0ms,T7,7,images/RFP1/A4_tile1_n930_T7.png,images/Halo/A4_tile1_n930_T7.png,unknown,unknown,0.7772626,0.22273733,0
A4_tile1_n930,A4,1,Control,0ms,T8,8,images/RFP1/A4_tile1_n930_T8.png,images/Halo/A4_tile1_n930_T8.png,unknown,unknown,0.79741687,0.20258313,0
A4_tile1_n930,A4,1,Control,0ms,T9,9,images/RFP1/A4_tile1_n930_T9.png,images/Halo/A4_tile1_n930_T9.png,unknown,unknown,0.6080966,0.3919034,0
A4_tile1_n930,A4,1,Control,0ms,T10,10,images/RFP1/A4_tile1_n930_T10.png,images/Halo/A4_tile1_n930_T10.png,unknown,unknown,0.46543288,0.5345671,1
A4_tile1_n930,A4,1,Control,0ms,T11,11,images/RFP1/A4_tile1_n930_T11.png,images/Halo/A4_tile1_n930_T11.png,unknown,unknown,0.5194018,0.48059824,0
A4_tile1_n930,A4,1,Control,0ms,T12,12,images/RFP1/A4_tile1_n930_T12.png,images/Halo/A4_tile1_n930_T12.png,unknown,unknown,0.2261734,0.77382654,1
A4_tile1_n930,A4,1,Control,0ms,T13,13,images/RFP1/A4_tile1_n930_T13.png,images/Halo/A4_tile1_n930_T13.png,unknown,unknown,0.3331685,0.6668315,1
A4_tile1_n930,A4,1,Control,0ms,T14,14,images/RFP1/A4_tile1_n930_T14.png,images/Halo/A4_tile1_n930_T14.png,unknown,unknown,0.31688723,0.68311274,1
A4_tile1_n930,A4,1,Control,0ms,T15,15,images/RFP1/A4_tile1_n930_T15.png,images/Halo/A4_tile1_n930_T15.png,unknown,unknown,0.42404386,0.5759561,1
A4_tile4_n1828,A4,4,Control,0ms,T0,0,images/RFP1/A4_tile4_n1828_T0.png,images/Halo/A4_tile4_n1828_T0.png,unknown,unknown,0.4639181,0.5360819,1
A4_tile4_n1828,A4,4,Control,0ms,T1,1,images/RFP1/A4_tile4_n1828_T1.png,images/Halo/A4_tile4_n1828_T1.png,unknown,unknown,0.56661236,0.43338764,0
A4_tile4_n1828,A4,4,Control,0ms,T2,2,images/RFP1/A4_tile4_n1828_T2.png,images/Halo/A4_tile4_n1828_T2.png,unknown,unknown,0.5980812,0.40191883,0
A4_tile4_n1828,A4,4,Control,0ms,T3,3,images/RFP1/A4_tile4_n1828_T3.png,images/Halo/A4_tile4_n1828_T3.png,unknown,unknown,0.56604016,0.4339598,0
A4_tile4_n1828,A4,4,Control,0ms,T4,4,images/RFP1/A4_tile4_n1828_T4.png,images/Halo/A4_tile4_n1828_T4.png,unknown,unknown,0.6416875,0.35831252,0
A4_tile4_n1828,A4,4,Control,0ms,T5,5,images/RFP1/A4_tile4_n1828_T5.png,images/Halo/A4_tile4_n1828_T5.png,unknown,unknown,0.51009977,0.48990023,0
A4_tile4_n1828,A4,4,Control,0ms,T6,6,images/RFP1/A4_tile4_n1828_T6.png,images/Halo/A4_tile4_n1828_T6.png,unknown,unknown,0.1440707,0.8559293,1
A4_tile4_n1828,A4,4,Control,0ms,T7,7,images/RFP1/A4_tile4_n1828_T7.png,images/Halo/A4_tile4_n1828_T7.png,unknown,unknown,0.47001812,0.5299819,1
A4_tile4_n1828,A4,4,Control,0ms,T8,8,images/RFP1/A4_tile4_n1828_T8.png,images/Halo/A4_tile4_n1828_T8.png,unknown,unknown,0.520903,0.47909698,0
A4_tile4_n1828,A4,4,Control,0ms,T9,9,images/RFP1/A4_tile4_n1828_T9.png,images/Halo/A4_tile4_n1828_T9.png,unknown,unknown,0.5416629,0.45833713,0
A4_tile4_n1828,A4,4,Control,0ms,T10,10,images/RFP1/A4_tile4_n1828_T10.png,images/Halo/A4_tile4_n1828_T10.png,unknown,unknown,0.38649186,0.6135081,1
A4_tile4_n1828,A4,4,Control,0ms,T11,11,images/RFP1/A4_tile4_n1828_T11.png,images/Halo/A4_tile4_n1828_T11.png,unknown,unknown,0.33137813,0.6686219,1
A4_tile4_n1828,A4,4,Control,0ms,T12,12,images/RFP1/A4_tile4_n1828_T12.png,images/Halo/A4_tile4_n1828_T12.png,unknown,unknown,0.22484009,0.77515996,1
A4_tile4_n1828,A4,4,Control,0ms,T13,13,images/RFP1/A4_tile4_n1828_T13.png,images/Halo/A4_tile4_n1828_T13.png,unknown,unknown,0.33141056,0.6685894,1
A4_tile4_n1828,A4,4,Control,0ms,T14,14,images/RFP1/A4_tile4_n1828_T14.png,images/Halo/A4_tile4_n1828_T14.png,unknown,unknown,0.27584004,0.72415996,1
A4_tile4_n1828,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n1828_T15.png,images/Halo/A4_tile4_n1828_T15.png,unknown,unknown,0.13519956,0.8648004,1
A4_tile4_n1802,A4,4,Control,0ms,T0,0,images/RFP1/A4_tile4_n1802_T0.png,images/Halo/A4_tile4_n1802_T0.png,unknown,unknown,0.44565585,0.5543442,1
A4_tile4_n1802,A4,4,Control,0ms,T1,1,images/RFP1/A4_tile4_n1802_T1.png,images/Halo/A4_tile4_n1802_T1.png,unknown,unknown,0.44204214,0.5579579,1
A4_tile4_n1802,A4,4,Control,0ms,T2,2,images/RFP1/A4_tile4_n1802_T2.png,images/Halo/A4_tile4_n1802_T2.png,unknown,unknown,0.13135867,0.8686413,1
A4_tile4_n1802,A4,4,Control,0ms,T3,3,images/RFP1/A4_tile4_n1802_T3.png,images/Halo/A4_tile4_n1802_T3.png,unknown,unknown,0.0908353,0.90916467,1
A4_tile4_n1802,A4,4,Control,0ms,T4,4,images/RFP1/A4_tile4_n1802_T4.png,images/Halo/A4_tile4_n1802_T4.png,unknown,unknown,0.084436044,0.915564,1
A4_tile4_n1802,A4,4,Control,0ms,T5,5,images/RFP1/A4_tile4_n1802_T5.png,images/Halo/A4_tile4_n1802_T5.png,unknown,unknown,0.06412266,0.9358773,1
