well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A10,1,T0,Control,0ms,11,0.56769395,0.31747404,0.43230608,0.317474,0.2727272727272727
A10,1,T1,Control,0ms,11,0.5495614,0.33201107,0.45043862,0.33201104,0.2727272727272727
A10,1,T10,Control,0ms,11,0.49636328,0.3146485,0.5036367,0.31464848,0.36363636363636365
A10,1,T11,Control,0ms,11,0.529273,0.30891022,0.4707271,0.30891022,0.36363636363636365
A10,1,T12,Control,0ms,11,0.5450805,0.24769434,0.45491952,0.24769437,0.45454545454545453
A10,1,T13,Control,0ms,11,0.50499624,0.315681,0.49500373,0.315681,0.36363636363636365
A10,1,T14,Control,0ms,11,0.56713957,0.24845141,0.4328604,0.24845141,0.2727272727272727
A10,1,T15,Control,0ms,11,0.51831174,0.29518136,0.4816883,0.29518136,0.36363636363636365
A10,1,T2,Control,0ms,11,0.5508468,0.32726556,0.44915316,0.32726556,0.2727272727272727
A10,1,T3,Control,0ms,11,0.53502315,0.32787505,0.46497682,0.32787505,0.2727272727272727
A10,1,T4,Control,0ms,11,0.5247538,0.30674466,0.47524616,0.30674466,0.36363636363636365
A10,1,T5,Control,0ms,11,0.528351,0.26522875,0.47164905,0.26522875,0.36363636363636365
A10,1,T6,Control,0ms,11,0.5620012,0.2600312,0.43799877,0.26003116,0.2727272727272727
A10,1,T7,Control,0ms,11,0.56885874,0.25883207,0.43114126,0.25883207,0.18181818181818182
A10,1,T8,Control,0ms,11,0.5248026,0.28413522,0.47519735,0.28413522,0.36363636363636365
A10,1,T9,Control,0ms,11,0.48809737,0.28666487,0.51190263,0.28666487,0.36363636363636365
A10,2,T0,Control,10000ms,15,0.6181774,0.30647096,0.38182256,0.30647093,0.2
A10,2,T1,Control,10000ms,15,0.6231861,0.31529915,0.3768139,0.31529915,0.2
A10,2,T10,Control,10000ms,15,0.60185087,0.303988,0.39814913,0.303988,0.2
A10,2,T11,Control,10000ms,15,0.607191,0.30543804,0.39280897,0.30543807,0.2
A10,2,T12,Control,10000ms,15,0.66308796,0.23918784,0.33691204,0.23918784,0.2
A10,2,T13,Control,10000ms,15,0.6256643,0.30833584,0.37433577,0.30833584,0.2
A10,2,T14,Control,10000ms,15,0.6866537,0.16830994,0.31334636,0.16830994,0.2
A10,2,T15,Control,10000ms,15,0.6060963,0.31036967,0.39390364,0.31036967,0.26666666666666666
A10,2,T2,Control,10000ms,15,0.62211585,0.31331193,0.37788412,0.31331193,0.2
A10,2,T3,Control,10000ms,15,0.6423874,0.28205246,0.35761258,0.28205246,0.2
A10,2,T4,Control,10000ms,15,0.6308628,0.2937793,0.36913723,0.29377928,0.2
A10,2,T5,Control,10000ms,15,0.6118342,0.30712187,0.3881658,0.30712187,0.2
A10,2,T6,Control,10000ms,15,0.62440085,0.28617156,0.37559918,0.28617156,0.2
A10,2,T7,Control,10000ms,15,0.6185695,0.30270448,0.3814305,0.30270448,0.2
A10,2,T8,Control,10000ms,15,0.6303496,0.30161214,0.3696504,0.30161214,0.2
A10,2,T9,Control,10000ms,15,0.6137358,0.2939107,0.38626423,0.2939107,0.2
A10,3,T0,Control,10000ms,22,0.6869056,0.18140934,0.3130944,0.18140934,0.13636363636363635
A10,3,T1,Control,10000ms,22,0.7021397,0.15484472,0.29786035,0.15484472,0.09090909090909091
A10,3,T10,Control,10000ms,22,0.69577736,0.15887968,0.3042226,0.15887968,0.13636363636363635
A10,3,T11,Control,10000ms,22,0.69457257,0.18196997,0.30542743,0.18196999,0.13636363636363635
A10,3,T12,Control,10000ms,22,0.6924928,0.1563896,0.3075072,0.1563896,0.09090909090909091
A10,3,T13,Control,10000ms,22,0.7327376,0.112081006,0.2672624,0.112081006,0.045454545454545456
A10,3,T14,Control,10000ms,22,0.7396771,0.07264705,0.26032293,0.07264705,0.0
A10,3,T15,Control,10000ms,22,0.6743845,0.16699569,0.32561553,0.16699569,0.045454545454545456
A10,3,T2,Control,10000ms,22,0.7095933,0.13671957,0.29040673,0.13671957,0.09090909090909091
A10,3,T3,Control,10000ms,22,0.7048649,0.1604403,0.29513505,0.16044028,0.09090909090909091
A10,3,T4,Control,10000ms,22,0.7060562,0.16641064,0.29394376,0.16641064,0.045454545454545456
A10,3,T5,Control,10000ms,22,0.7363409,0.085461244,0.26365912,0.08546123,0.0
A10,3,T6,Control,10000ms,22,0.715495,0.11435011,0.284505,0.11435011,0.045454545454545456
A10,3,T7,Control,10000ms,22,0.7131974,0.10205204,0.2868026,0.10205205,0.045454545454545456
A10,3,T8,Control,10000ms,22,0.7056349,0.12472998,0.29436514,0.12472999,0.045454545454545456
A10,3,T9,Control,10000ms,22,0.71434855,0.1548654,0.28565142,0.1548654,0.09090909090909091
A10,4,T0,Control,0ms,32,0.6340599,0.2729647,0.3659401,0.2729647,0.1875
A10,4,T1,Control,0ms,32,0.64494264,0.27109322,0.35505736,0.27109322,0.1875
A10,4,T10,Control,0ms,32,0.65345234,0.27750635,0.34654766,0.27750635,0.15625
A10,4,T11,Control,0ms,32,0.63825065,0.27573493,0.36174935,0.27573493,0.15625
A10,4,T12,Control,0ms,32,0.63859504,0.2590531,0.36140496,0.2590531,0.15625
A10,4,T13,Control,0ms,32,0.65866816,0.23871326,0.34133187,0.23871325,0.125
A10,4,T14,Control,0ms,32,0.6341624,0.24310525,0.3658376,0.24310525,0.15625
A10,4,T15,Control,0ms,32,0.60851276,0.26598638,0.3914872,0.26598638,0.15625
A10,4,T2,Control,0ms,32,0.64180464,0.27700588,0.35819536,0.27700588,0.15625
A10,4,T3,Control,0ms,32,0.6493262,0.2756929,0.35067376,0.2756929,0.15625
A10,4,T4,Control,0ms,32,0.6543531,0.26747867,0.3456469,0.2674787,0.15625
A10,4,T5,Control,0ms,32,0.6695776,0.2549574,0.33042237,0.2549574,0.15625
A10,4,T6,Control,0ms,32,0.68192023,0.22976191,0.31807977,0.22976191,0.125
A10,4,T7,Control,0ms,32,0.6691997,0.24134198,0.3308003,0.241342,0.125
A10,4,T8,Control,0ms,32,0.6475678,0.25911912,0.3524322,0.25911912,0.1875
A10,4,T9,Control,0ms,32,0.6429626,0.2737034,0.35703743,0.2737034,0.15625
A11,1,T0,Control,0ms,6,0.5184148,0.31046566,0.48158526,0.3104657,0.5
A11,1,T1,Control,0ms,6,0.4916297,0.37006724,0.50837034,0.37006724,0.3333333333333333
A11,1,T10,Control,0ms,6,0.5401696,0.39085373,0.4598304,0.39085373,0.3333333333333333
A11,1,T11,Control,0ms,6,0.5294764,0.37918484,0.4705236,0.37918484,0.3333333333333333
A11,1,T12,Control,0ms,6,0.5179662,0.38135394,0.48203382,0.38135394,0.3333333333333333
A11,1,T13,Control,0ms,6,0.48980436,0.3645958,0.5101957,0.36459583,0.3333333333333333
A11,1,T14,Control,0ms,6,0.5292205,0.37023497,0.47077942,0.37023497,0.3333333333333333
A11,1,T15,Control,0ms,6,0.55542874,0.35789675,0.44457126,0.35789675,0.3333333333333333
A11,1,T2,Control,0ms,6,0.60287625,0.2970371,0.39712372,0.2970371,0.16666666666666666
A11,1,T3,Control,0ms,6,0.5472135,0.3790705,0.45278654,0.37907052,0.3333333333333333
A11,1,T4,Control,0ms,6,0.5498562,0.39345667,0.4501438,0.3934567,0.3333333333333333
A11,1,T5,Control,0ms,6,0.53911597,0.38760072,0.46088406,0.3876007,0.3333333333333333
A11,1,T6,Control,0ms,6,0.6424877,0.30584672,0.35751233,0.30584672,0.16666666666666666
A11,1,T7,Control,0ms,6,0.61719555,0.3010344,0.38280442,0.30103442,0.16666666666666666
A11,1,T8,Control,0ms,6,0.532713,0.38406748,0.46728703,0.38406745,0.3333333333333333
A11,1,T9,Control,0ms,6,0.5374131,0.39709854,0.46258688,0.39709854,0.3333333333333333
A11,2,T0,Control,10000ms,11,0.67717725,0.17291732,0.32282275,0.17291734,0.18181818181818182
A11,2,T1,Control,10000ms,11,0.6950304,0.235647,0.3049696,0.23564698,0.09090909090909091
A11,2,T10,Control,10000ms,11,0.70424056,0.2368989,0.29575947,0.2368989,0.09090909090909091
A11,2,T11,Control,10000ms,11,0.70660657,0.23372911,0.29339343,0.2337291,0.09090909090909091
A11,2,T12,Control,10000ms,11,0.68481994,0.22707202,0.31518006,0.227072,0.09090909090909091
A11,2,T13,Control,10000ms,11,0.6918558,0.23301831,0.30814424,0.2330183,0.09090909090909091
A11,2,T14,Control,10000ms,11,0.70432246,0.20237857,0.2956775,0.20237856,0.09090909090909091
A11,2,T15,Control,10000ms,11,0.69991803,0.16384946,0.30008194,0.16384947,0.09090909090909091
A11,2,T2,Control,10000ms,11,0.6777038,0.23873208,0.3222962,0.23873207,0.09090909090909091
A11,2,T3,Control,10000ms,11,0.7077962,0.23055594,0.29220378,0.23055594,0.09090909090909091
A11,2,T4,Control,10000ms,11,0.71807426,0.23851904,0.2819257,0.23851903,0.09090909090909091
A11,2,T5,Control,10000ms,11,0.7194343,0.23429647,0.28056568,0.23429646,0.09090909090909091
A11,2,T6,Control,10000ms,11,0.71436065,0.23644999,0.28563935,0.23644996,0.09090909090909091
A11,2,T7,Control,10000ms,11,0.71477437,0.23081629,0.2852256,0.23081627,0.09090909090909091
A11,2,T8,Control,10000ms,11,0.7168016,0.23804267,0.28319845,0.23804264,0.09090909090909091
A11,2,T9,Control,10000ms,11,0.7121842,0.23585035,0.28781584,0.23585033,0.09090909090909091
A11,3,T0,Control,10000ms,26,0.7419487,0.150187,0.25805125,0.150187,0.07692307692307693
A11,3,T1,Control,10000ms,26,0.74363637,0.16668983,0.25636366,0.16668981,0.038461538461538464
A11,3,T10,Control,10000ms,26,0.73371506,0.16907342,0.26628497,0.16907342,0.07692307692307693
A11,3,T11,Control,10000ms,26,0.7355871,0.16913696,0.26441285,0.16913694,0.07692307692307693
A11,3,T12,Control,10000ms,26,0.72743994,0.16142075,0.27256003,0.16142073,0.038461538461538464
A11,3,T13,Control,10000ms,26,0.7256614,0.16826098,0.27433857,0.16826098,0.07692307692307693
A11,3,T14,Control,10000ms,26,0.7273642,0.16807728,0.27263585,0.16807728,0.07692307692307693
A11,3,T15,Control,10000ms,26,0.7353003,0.13719921,0.26469973,0.13719921,0.07692307692307693
A11,3,T2,Control,10000ms,26,0.74188435,0.16581792,0.2581156,0.16581792,0.038461538461538464
A11,3,T3,Control,10000ms,26,0.74646825,0.16589569,0.25353172,0.16589569,0.038461538461538464
A11,3,T4,Control,10000ms,26,0.73980296,0.16299422,0.26019704,0.16299422,0.038461538461538464
A11,3,T5,Control,10000ms,26,0.7326656,0.16604625,0.26733443,0.16604625,0.038461538461538464
A11,3,T6,Control,10000ms,26,0.74454904,0.15836507,0.25545096,0.1583651,0.038461538461538464
A11,3,T7,Control,10000ms,26,0.74790627,0.15146774,0.2520938,0.15146776,0.038461538461538464
A11,3,T8,Control,10000ms,26,0.7370694,0.15693879,0.26293054,0.15693879,0.038461538461538464
A11,3,T9,Control,10000ms,26,0.7321535,0.15894736,0.26784658,0.15894738,0.038461538461538464
A11,4,T0,Control,0ms,22,0.7148189,0.15286596,0.28518113,0.15286598,0.13636363636363635
A11,4,T1,Control,0ms,22,0.6721378,0.22579153,0.3278622,0.22579153,0.09090909090909091
A11,4,T10,Control,0ms,22,0.6797182,0.20668891,0.3202818,0.20668891,0.09090909090909091
A11,4,T11,Control,0ms,22,0.66358334,0.21668907,0.33641663,0.21668907,0.13636363636363635
A11,4,T12,Control,0ms,22,0.64845467,0.21790546,0.35154536,0.21790546,0.13636363636363635
A11,4,T13,Control,0ms,22,0.65070164,0.23793124,0.34929836,0.23793122,0.13636363636363635
A11,4,T14,Control,0ms,22,0.66608834,0.22109976,0.33391163,0.22109976,0.13636363636363635
A11,4,T15,Control,0ms,22,0.68726933,0.19249973,0.31273064,0.19249973,0.13636363636363635
A11,4,T2,Control,0ms,22,0.6999879,0.20946191,0.30001208,0.20946191,0.09090909090909091
A11,4,T3,Control,0ms,22,0.69586515,0.21213697,0.30413488,0.21213697,0.09090909090909091
A11,4,T4,Control,0ms,22,0.68918204,0.20014,0.31081793,0.20014001,0.09090909090909091
A11,4,T5,Control,0ms,22,0.689084,0.2006811,0.310916,0.2006811,0.09090909090909091
A11,4,T6,Control,0ms,22,0.6843673,0.21467595,0.3156327,0.21467595,0.09090909090909091
A11,4,T7,Control,0ms,22,0.70049393,0.16326755,0.29950607,0.16326754,0.09090909090909091
A11,4,T8,Control,0ms,22,0.6836199,0.20874561,0.31638014,0.20874563,0.09090909090909091
A11,4,T9,Control,0ms,22,0.680369,0.19454382,0.31963098,0.19454382,0.09090909090909091
A22,1,T0,Control,0ms,22,0.5510513,0.30095878,0.44894868,0.30095878,0.2727272727272727
A22,1,T1,Control,0ms,22,0.59001756,0.27850708,0.40998247,0.27850708,0.22727272727272727
A22,1,T10,Control,0ms,22,0.5409606,0.26401448,0.4590394,0.26401448,0.3181818181818182
A22,1,T11,Control,0ms,22,0.53560007,0.2739019,0.4644,0.2739019,0.4090909090909091
A22,1,T12,Control,0ms,22,0.445334,0.28872222,0.554666,0.28872222,0.5
A22,1,T13,Control,0ms,22,0.60190433,0.22873859,0.3980957,0.2287386,0.18181818181818182
A22,1,T14,Control,0ms,22,0.5214189,0.29302928,0.47858107,0.29302925,0.36363636363636365
A22,1,T15,Control,0ms,22,0.52693886,0.27885273,0.4730611,0.27885273,0.3181818181818182
A22,1,T2,Control,0ms,22,0.6105547,0.23852547,0.3894453,0.23852547,0.18181818181818182
A22,1,T3,Control,0ms,22,0.58055305,0.27558798,0.41944695,0.27558798,0.22727272727272727
A22,1,T4,Control,0ms,22,0.5350668,0.276248,0.46493322,0.276248,0.3181818181818182
A22,1,T5,Control,0ms,22,0.5408247,0.27480137,0.4591753,0.27480137,0.36363636363636365
A22,1,T6,Control,0ms,22,0.4964093,0.3212194,0.5035907,0.32121944,0.36363636363636365
A22,1,T7,Control,0ms,22,0.5208239,0.31462994,0.47917607,0.31462994,0.3181818181818182
A22,1,T8,Control,0ms,22,0.5441504,0.2812583,0.45584956,0.2812583,0.3181818181818182
A22,1,T9,Control,0ms,22,0.5050897,0.30038795,0.49491024,0.30038795,0.4090909090909091
A22,2,T0,Control,10000ms,24,0.70145625,0.17402293,0.29854378,0.17402293,0.08333333333333333
A22,2,T1,Control,10000ms,24,0.713195,0.13236472,0.286805,0.13236472,0.08333333333333333
A22,2,T10,Control,10000ms,24,0.70655394,0.18002419,0.2934461,0.1800242,0.08333333333333333
A22,2,T11,Control,10000ms,24,0.6887148,0.17163871,0.31128517,0.17163871,0.125
A22,2,T12,Control,10000ms,24,0.6476268,0.21886507,0.3523732,0.21886505,0.20833333333333334
A22,2,T13,Control,10000ms,24,0.69554305,0.1777832,0.30445695,0.1777832,0.16666666666666666
A22,2,T14,Control,10000ms,24,0.6555076,0.18982849,0.3444924,0.18982847,0.20833333333333334
A22,2,T15,Control,10000ms,24,0.6800172,0.18642399,0.31998283,0.18642399,0.16666666666666666
A22,2,T2,Control,10000ms,24,0.710902,0.17336236,0.28909802,0.17336236,0.08333333333333333
A22,2,T3,Control,10000ms,24,0.6788273,0.16814965,0.32117274,0.16814965,0.08333333333333333
A22,2,T4,Control,10000ms,24,0.64968044,0.19164504,0.35031953,0.19164503,0.16666666666666666
A22,2,T5,Control,10000ms,24,0.6512826,0.21961409,0.34871736,0.21961409,0.16666666666666666
A22,2,T6,Control,10000ms,24,0.66110665,0.21726191,0.33889338,0.21726193,0.16666666666666666
A22,2,T7,Control,10000ms,24,0.6598376,0.20792574,0.3401624,0.20792574,0.20833333333333334
A22,2,T8,Control,10000ms,24,0.70130545,0.1759335,0.29869452,0.1759335,0.08333333333333333
A22,2,T9,Control,10000ms,24,0.6669093,0.19080213,0.33309072,0.19080213,0.20833333333333334
A22,3,T0,Control,10000ms,20,0.70831716,0.22291666,0.29168287,0.22291668,0.15
A22,3,T1,Control,10000ms,20,0.7281859,0.16273476,0.27181408,0.16273476,0.1
A22,3,T10,Control,10000ms,20,0.71287686,0.18831411,0.28712314,0.18831411,0.1
A22,3,T11,Control,10000ms,20,0.7057282,0.1902212,0.29427183,0.19022119,0.2
A22,3,T12,Control,10000ms,20,0.68161345,0.218256,0.31838652,0.218256,0.2
A22,3,T13,Control,10000ms,20,0.73473555,0.1421695,0.26526445,0.1421695,0.05
A22,3,T14,Control,10000ms,20,0.70201206,0.20184945,0.2979879,0.20184943,0.15
A22,3,T15,Control,10000ms,20,0.71653455,0.17166892,0.28346545,0.17166892,0.15
A22,3,T2,Control,10000ms,20,0.748859,0.15499964,0.251141,0.15499964,0.05
A22,3,T3,Control,10000ms,20,0.69229376,0.22339574,0.30770624,0.22339574,0.1
A22,3,T4,Control,10000ms,20,0.6828538,0.22720212,0.3171462,0.22720212,0.2
A22,3,T5,Control,10000ms,20,0.7008527,0.20289493,0.2991473,0.20289494,0.15
A22,3,T6,Control,10000ms,20,0.671078,0.2514496,0.32892197,0.2514496,0.15
A22,3,T7,Control,10000ms,20,0.689489,0.2285705,0.31051096,0.22857052,0.2
A22,3,T8,Control,10000ms,20,0.70860326,0.17608178,0.2913967,0.17608178,0.1
A22,3,T9,Control,10000ms,20,0.6979569,0.21950185,0.30204305,0.21950185,0.1
A22,4,T0,Control,0ms,40,0.68088377,0.19197027,0.31911618,0.19197026,0.175
A22,4,T1,Control,0ms,40,0.70851374,0.15894856,0.29148623,0.15894856,0.15
A22,4,T10,Control,0ms,40,0.69955194,0.2192068,0.30044803,0.2192068,0.15
A22,4,T11,Control,0ms,40,0.69458586,0.22532478,0.30541417,0.22532478,0.125
A22,4,T12,Control,0ms,40,0.6619593,0.24391301,0.33804074,0.24391301,0.175
A22,4,T13,Control,0ms,40,0.6997086,0.19938733,0.30029145,0.19938733,0.125
A22,4,T14,Control,0ms,40,0.6867501,0.22015688,0.3132499,0.22015688,0.125
A22,4,T15,Control,0ms,40,0.69374526,0.20632102,0.3062547,0.206321,0.125
A22,4,T2,Control,0ms,40,0.73243845,0.15789115,0.2675615,0.15789115,0.125
A22,4,T3,Control,0ms,40,0.7030389,0.18839644,0.29696113,0.18839642,0.15
A22,4,T4,Control,0ms,40,0.6921024,0.19690348,0.30789763,0.19690348,0.175
A22,4,T5,Control,0ms,40,0.70017433,0.19675985,0.29982567,0.19675985,0.15
A22,4,T6,Control,0ms,40,0.66175544,0.24778014,0.3382446,0.24778013,0.225
A22,4,T7,Control,0ms,40,0.6887735,0.22459483,0.3112265,0.22459483,0.175
A22,4,T8,Control,0ms,40,0.6992726,0.21534841,0.30072743,0.21534841,0.15
A22,4,T9,Control,0ms,40,0.6777905,0.23438545,0.3222095,0.23438545,0.175
A23,1,T0,Control,0ms,18,0.7466242,0.1620285,0.25337586,0.1620285,0.1111111111111111
A23,1,T1,Control,0ms,18,0.76345587,0.12385186,0.2365441,0.12385186,0.05555555555555555
A23,1,T10,Control,0ms,18,0.76732516,0.1576642,0.2326748,0.1576642,0.05555555555555555
A23,1,T11,Control,0ms,18,0.77294743,0.084122956,0.22705258,0.08412297,0.0
A23,1,T12,Control,0ms,18,0.75023186,0.1825854,0.24976815,0.18258539,0.05555555555555555
A23,1,T13,Control,0ms,18,0.77181274,0.07447248,0.22818726,0.07447248,0.0
A23,1,T14,Control,0ms,18,0.76324856,0.08467429,0.23675148,0.08467431,0.0
A23,1,T15,Control,0ms,18,0.7782552,0.059940234,0.22174476,0.059940226,0.0
A23,1,T2,Control,0ms,18,0.7662318,0.097487666,0.23376822,0.09748765,0.0
A23,1,T3,Control,0ms,18,0.775828,0.111646466,0.22417204,0.11164647,0.05555555555555555
A23,1,T4,Control,0ms,18,0.7752761,0.11166221,0.22472388,0.111662224,0.05555555555555555
A23,1,T5,Control,0ms,18,0.75768363,0.104595594,0.24231638,0.10459559,0.05555555555555555
A23,1,T6,Control,0ms,18,0.7531661,0.19220513,0.24683394,0.19220512,0.05555555555555555
A23,1,T7,Control,0ms,18,0.7579715,0.18828025,0.24202845,0.18828027,0.05555555555555555
A23,1,T8,Control,0ms,18,0.7555759,0.17979313,0.24442407,0.17979312,0.05555555555555555
A23,1,T9,Control,0ms,18,0.7569699,0.1803886,0.2430301,0.1803886,0.05555555555555555
A23,2,T0,Control,10000ms,26,0.6291915,0.3044635,0.37080845,0.3044635,0.23076923076923078
A23,2,T1,Control,10000ms,26,0.63885564,0.29316595,0.36114436,0.29316595,0.19230769230769232
