well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A10,1,T0,Control,0ms,11,0.3374505,0.21098426,0.6625495,0.21098426,0.6363636363636364
A10,1,T1,Control,0ms,11,0.45849133,0.21110573,0.54150873,0.21110572,0.36363636363636365
A10,1,T10,Control,0ms,11,0.6403509,0.17094666,0.35964906,0.17094667,0.18181818181818182
A10,1,T11,Control,0ms,11,0.60025734,0.23199277,0.39974263,0.23199277,0.2727272727272727
A10,1,T12,Control,0ms,11,0.60751873,0.24810542,0.39248124,0.24810544,0.2727272727272727
A10,1,T13,Control,0ms,11,0.64300287,0.17300712,0.35699713,0.17300712,0.18181818181818182
A10,1,T14,Control,0ms,11,0.64219993,0.16540904,0.35780004,0.16540903,0.18181818181818182
A10,1,T15,Control,0ms,11,0.63320357,0.14079611,0.3667964,0.1407961,0.18181818181818182
A10,1,T2,Control,0ms,11,0.5512671,0.124595076,0.44873288,0.12459507,0.36363636363636365
A10,1,T3,Control,0ms,11,0.5833684,0.12566859,0.41663158,0.12566857,0.2727272727272727
A10,1,T4,Control,0ms,11,0.64309996,0.09273554,0.35690007,0.092735544,0.09090909090909091
A10,1,T5,Control,0ms,11,0.6610512,0.11333432,0.33894885,0.11333433,0.09090909090909091
A10,1,T6,Control,0ms,11,0.65680987,0.10951938,0.34319016,0.10951938,0.09090909090909091
A10,1,T7,Control,0ms,11,0.6766253,0.10674535,0.32337472,0.10674536,0.09090909090909091
A10,1,T8,Control,0ms,11,0.6909919,0.097866006,0.30900815,0.097866,0.0
A10,1,T9,Control,0ms,11,0.6309289,0.22717816,0.36907113,0.22717816,0.18181818181818182
A10,2,T0,Control,10000ms,15,0.24332906,0.21274947,0.75667095,0.21274945,0.8666666666666667
A10,2,T1,Control,10000ms,15,0.39475617,0.24158986,0.60524386,0.24158984,0.6
A10,2,T10,Control,10000ms,15,0.6798574,0.122508354,0.32014263,0.12250835,0.13333333333333333
A10,2,T11,Control,10000ms,15,0.67606854,0.13345118,0.32393143,0.1334512,0.13333333333333333
A10,2,T12,Control,10000ms,15,0.74389523,0.065378934,0.25610477,0.06537894,0.0
A10,2,T13,Control,10000ms,15,0.7476025,0.07178034,0.25239748,0.07178034,0.0
A10,2,T14,Control,10000ms,15,0.724683,0.07874254,0.27531704,0.07874254,0.0
A10,2,T15,Control,10000ms,15,0.7021362,0.10330897,0.2978638,0.10330897,0.06666666666666667
A10,2,T2,Control,10000ms,15,0.48954713,0.2709188,0.5104529,0.2709188,0.26666666666666666
A10,2,T3,Control,10000ms,15,0.50768167,0.29632282,0.4923183,0.29632282,0.3333333333333333
A10,2,T4,Control,10000ms,15,0.5595461,0.27026802,0.44045392,0.27026802,0.3333333333333333
A10,2,T5,Control,10000ms,15,0.58554894,0.2526541,0.41445106,0.2526541,0.3333333333333333
A10,2,T6,Control,10000ms,15,0.6450687,0.16368434,0.35493132,0.16368435,0.26666666666666666
A10,2,T7,Control,10000ms,15,0.6580076,0.17441295,0.34199235,0.17441298,0.26666666666666666
A10,2,T8,Control,10000ms,15,0.68719673,0.12977803,0.31280324,0.129778,0.2
A10,2,T9,Control,10000ms,15,0.6810163,0.13268863,0.31898364,0.13268863,0.2
A10,3,T0,Control,10000ms,22,0.3263211,0.26810566,0.67367893,0.26810566,0.5909090909090909
A10,3,T1,Control,10000ms,22,0.40147308,0.2664303,0.5985269,0.26643032,0.6363636363636364
A10,3,T10,Control,10000ms,22,0.64109004,0.19992675,0.35890996,0.19992676,0.09090909090909091
A10,3,T11,Control,10000ms,22,0.6292586,0.2082683,0.37074137,0.2082683,0.18181818181818182
A10,3,T12,Control,10000ms,22,0.66392183,0.18997307,0.33607817,0.18997307,0.13636363636363635
A10,3,T13,Control,10000ms,22,0.68440163,0.17720623,0.31559837,0.17720622,0.09090909090909091
A10,3,T14,Control,10000ms,22,0.68655837,0.16459791,0.31344163,0.1645979,0.09090909090909091
A10,3,T15,Control,10000ms,22,0.63475233,0.20861188,0.3652477,0.20861188,0.18181818181818182
A10,3,T2,Control,10000ms,22,0.4973187,0.2632878,0.50268126,0.2632878,0.36363636363636365
A10,3,T3,Control,10000ms,22,0.5259955,0.25684828,0.47400448,0.25684828,0.36363636363636365
A10,3,T4,Control,10000ms,22,0.58942884,0.23230924,0.41057113,0.23230924,0.3181818181818182
A10,3,T5,Control,10000ms,22,0.6012957,0.2163903,0.39870426,0.2163903,0.22727272727272727
A10,3,T6,Control,10000ms,22,0.60473925,0.19703476,0.39526078,0.19703476,0.22727272727272727
A10,3,T7,Control,10000ms,22,0.594235,0.21081607,0.40576497,0.21081607,0.18181818181818182
A10,3,T8,Control,10000ms,22,0.6168115,0.20890854,0.38318846,0.20890854,0.18181818181818182
A10,3,T9,Control,10000ms,22,0.6361688,0.20678772,0.36383122,0.20678774,0.18181818181818182
A10,4,T0,Control,0ms,32,0.37160477,0.20431419,0.62839526,0.20431417,0.78125
A10,4,T1,Control,0ms,32,0.49879223,0.2158969,0.50120777,0.2158969,0.375
A10,4,T10,Control,0ms,32,0.7132405,0.12103242,0.2867595,0.12103241,0.09375
A10,4,T11,Control,0ms,32,0.71101975,0.13194662,0.28898025,0.13194664,0.09375
A10,4,T12,Control,0ms,32,0.71225685,0.13875306,0.28774318,0.13875306,0.09375
A10,4,T13,Control,0ms,32,0.71185505,0.12840223,0.28814495,0.12840222,0.0625
A10,4,T14,Control,0ms,32,0.7110422,0.14796941,0.28895777,0.14796941,0.0625
A10,4,T15,Control,0ms,32,0.69495946,0.14685823,0.30504054,0.14685823,0.0625
A10,4,T2,Control,0ms,32,0.5597763,0.21298994,0.4402237,0.21298994,0.28125
A10,4,T3,Control,0ms,32,0.58353156,0.18603271,0.41646844,0.1860327,0.3125
A10,4,T4,Control,0ms,32,0.61402446,0.17429194,0.38597554,0.17429192,0.21875
A10,4,T5,Control,0ms,32,0.65857667,0.13358532,0.34142336,0.13358532,0.125
A10,4,T6,Control,0ms,32,0.67069757,0.15244958,0.3293024,0.15244958,0.125
A10,4,T7,Control,0ms,32,0.6943825,0.13074638,0.3056175,0.13074638,0.125
A10,4,T8,Control,0ms,32,0.70790046,0.114494406,0.29209954,0.11449441,0.0625
A10,4,T9,Control,0ms,32,0.71235377,0.108904354,0.2876462,0.108904354,0.03125
A11,1,T0,Control,0ms,6,0.27787924,0.2722818,0.72212076,0.27228177,0.6666666666666666
A11,1,T1,Control,0ms,6,0.33317265,0.26909748,0.6668274,0.26909748,0.6666666666666666
A11,1,T10,Control,0ms,6,0.7234924,0.08024251,0.27650765,0.08024253,0.0
A11,1,T11,Control,0ms,6,0.6953184,0.17776088,0.30468163,0.17776088,0.16666666666666666
A11,1,T12,Control,0ms,6,0.72691387,0.15099533,0.27308616,0.15099534,0.16666666666666666
A11,1,T13,Control,0ms,6,0.70840603,0.2047586,0.29159394,0.2047586,0.16666666666666666
A11,1,T14,Control,0ms,6,0.72173864,0.20180771,0.2782614,0.20180774,0.16666666666666666
A11,1,T15,Control,0ms,6,0.7389614,0.17071576,0.26103857,0.17071573,0.16666666666666666
A11,1,T2,Control,0ms,6,0.41472626,0.25781462,0.58527374,0.2578146,0.5
A11,1,T3,Control,0ms,6,0.5140307,0.20931043,0.48596933,0.20931043,0.5
A11,1,T4,Control,0ms,6,0.50595903,0.24718778,0.49404097,0.24718778,0.5
A11,1,T5,Control,0ms,6,0.55536205,0.22345997,0.44463792,0.22346,0.3333333333333333
A11,1,T6,Control,0ms,6,0.6212391,0.1427925,0.37876084,0.14279248,0.16666666666666666
A11,1,T7,Control,0ms,6,0.63513327,0.12761536,0.3648667,0.12761536,0.16666666666666666
A11,1,T8,Control,0ms,6,0.6539629,0.10615618,0.34603712,0.10615617,0.0
A11,1,T9,Control,0ms,6,0.68911076,0.08467996,0.31088918,0.084679976,0.0
