neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
A4_tile3_n514,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n514_T0.png,images/Halo/A4_tile3_n514_T0.png,unknown,unknown,0.19328691,0.8067131,1
A4_tile3_n514,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n514_T1.png,images/Halo/A4_tile3_n514_T1.png,unknown,unknown,0.057179004,0.94282097,1
A4_tile3_n514,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n514_T2.png,images/Halo/A4_tile3_n514_T2.png,unknown,unknown,0.062289286,0.9377107,1
A4_tile3_n514,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n514_T3.png,images/Halo/A4_tile3_n514_T3.png,unknown,unknown,0.15134303,0.84865695,1
A4_tile3_n514,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n514_T4.png,images/Halo/A4_tile3_n514_T4.png,unknown,unknown,0.30815282,0.69184715,1
A4_tile3_n514,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n514_T5.png,images/Halo/A4_tile3_n514_T5.png,unknown,unknown,0.118517496,0.8814825,1
A4_tile3_n514,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n514_T6.png,images/Halo/A4_tile3_n514_T6.png,unknown,unknown,0.24566193,0.75433815,1
A4_tile3_n514,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n514_T7.png,images/Halo/A4_tile3_n514_T7.png,unknown,unknown,0.22428124,0.77571875,1
A4_tile3_n514,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n514_T8.png,images/Halo/A4_tile3_n514_T8.png,unknown,unknown,0.061002355,0.9389977,1
A4_tile3_n514,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n514_T9.png,images/Halo/A4_tile3_n514_T9.png,unknown,unknown,0.108327694,0.8916723,1
A4_tile3_n514,A4,3,Control,10000ms,T10,10,images/RFP1/A4_tile3_n514_T10.png,images/Halo/A4_tile3_n514_T10.png,unknown,unknown,0.100737214,0.8992627,1
A4_tile3_n514,A4,3,Control,10000ms,T11,11,images/RFP1/A4_tile3_n514_T11.png,images/Halo/A4_tile3_n514_T11.png,unknown,unknown,0.021140875,0.97885907,1
A4_tile3_n514,A4,3,Control,10000ms,T12,12,images/RFP1/A4_tile3_n514_T12.png,images/Halo/A4_tile3_n514_T12.png,unknown,unknown,0.14066337,0.8593366,1
A4_tile3_n514,A4,3,Control,10000ms,T13,13,images/RFP1/A4_tile3_n514_T13.png,images/Halo/A4_tile3_n514_T13.png,unknown,unknown,0.14701231,0.85298765,1
A4_tile3_n514,A4,3,Control,10000ms,T14,14,images/RFP1/A4_tile3_n514_T14.png,images/Halo/A4_tile3_n514_T14.png,unknown,unknown,0.08926672,0.91073334,1
A4_tile3_n514,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n514_T15.png,images/Halo/A4_tile3_n514_T15.png,unknown,unknown,0.39565846,0.6043415,1
A4_tile4_n6,A4,4,Control,0ms,T0,0,images/RFP1/A4_tile4_n6_T0.png,images/Halo/A4_tile4_n6_T0.png,unknown,unknown,0.0017270828,0.9982729,1
A4_tile4_n6,A4,4,Control,0ms,T1,1,images/RFP1/A4_tile4_n6_T1.png,images/Halo/A4_tile4_n6_T1.png,unknown,unknown,0.024669254,0.9753307,1
A4_tile4_n6,A4,4,Control,0ms,T2,2,images/RFP1/A4_tile4_n6_T2.png,images/Halo/A4_tile4_n6_T2.png,unknown,unknown,0.00019676244,0.99980325,1
A4_tile4_n6,A4,4,Control,0ms,T3,3,images/RFP1/A4_tile4_n6_T3.png,images/Halo/A4_tile4_n6_T3.png,unknown,unknown,0.00033799539,0.99966204,1
A4_tile4_n6,A4,4,Control,0ms,T4,4,images/RFP1/A4_tile4_n6_T4.png,images/Halo/A4_tile4_n6_T4.png,unknown,unknown,0.00027851303,0.99972147,1
A4_tile4_n6,A4,4,Control,0ms,T5,5,images/RFP1/A4_tile4_n6_T5.png,images/Halo/A4_tile4_n6_T5.png,unknown,unknown,0.0036959527,0.99630404,1
A4_tile4_n6,A4,4,Control,0ms,T6,6,images/RFP1/A4_tile4_n6_T6.png,images/Halo/A4_tile4_n6_T6.png,unknown,unknown,0.011513114,0.9884869,1
A4_tile4_n6,A4,4,Control,0ms,T7,7,images/RFP1/A4_tile4_n6_T7.png,images/Halo/A4_tile4_n6_T7.png,unknown,unknown,0.024002507,0.9759975,1
A4_tile4_n6,A4,4,Control,0ms,T8,8,images/RFP1/A4_tile4_n6_T8.png,images/Halo/A4_tile4_n6_T8.png,unknown,unknown,0.02059005,0.97940993,1
A4_tile4_n6,A4,4,Control,0ms,T9,9,images/RFP1/A4_tile4_n6_T9.png,images/Halo/A4_tile4_n6_T9.png,unknown,unknown,0.124619685,0.87538034,1
A4_tile4_n6,A4,4,Control,0ms,T10,10,images/RFP1/A4_tile4_n6_T10.png,images/Halo/A4_tile4_n6_T10.png,unknown,unknown,0.35204846,0.64795154,1
A4_tile4_n6,A4,4,Control,0ms,T11,11,images/RFP1/A4_tile4_n6_T11.png,images/Halo/A4_tile4_n6_T11.png,unknown,unknown,0.5704618,0.42953813,0
A4_tile4_n6,A4,4,Control,0ms,T12,12,images/RFP1/A4_tile4_n6_T12.png,images/Halo/A4_tile4_n6_T12.png,unknown,unknown,0.6837179,0.3162821,0
A4_tile4_n6,A4,4,Control,0ms,T13,13,images/RFP1/A4_tile4_n6_T13.png,images/Halo/A4_tile4_n6_T13.png,unknown,unknown,0.15716003,0.84284,1
A4_tile4_n6,A4,4,Control,0ms,T14,14,images/RFP1/A4_tile4_n6_T14.png,images/Halo/A4_tile4_n6_T14.png,unknown,unknown,0.12797064,0.8720293,1
A4_tile4_n6,A4,4,Control,0ms,T15,15,images/RFP1/A4_tile4_n6_T15.png,images/Halo/A4_tile4_n6_T15.png,unknown,unknown,0.08947271,0.9105273,1
