well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A10,1,T0,Control,0ms,11,0.2046104,0.2558575,0.7953896,0.2558575,0.9090909090909091
A10,1,T1,Control,0ms,11,0.19192995,0.29321536,0.80807,0.29321536,0.9090909090909091
A10,1,T10,Control,0ms,11,0.6175991,0.33355546,0.38240087,0.33355543,0.45454545454545453
A10,1,T11,Control,0ms,11,0.61710066,0.355561,0.38289937,0.355561,0.45454545454545453
A10,1,T12,Control,0ms,11,0.6448125,0.40594345,0.35518745,0.40594345,0.36363636363636365
A10,1,T13,Control,0ms,11,0.607882,0.39067802,0.39211798,0.39067802,0.45454545454545453
A10,1,T14,Control,0ms,11,0.60596114,0.41022027,0.39403886,0.41022024,0.45454545454545453
A10,1,T15,Control,0ms,11,0.703987,0.34566423,0.296013,0.3456642,0.36363636363636365
A10,1,T2,Control,0ms,11,0.19555265,0.3001297,0.80444735,0.3001297,0.9090909090909091
A10,1,T3,Control,0ms,11,0.23333889,0.3007818,0.7666611,0.30078176,0.8181818181818182
A10,1,T4,Control,0ms,11,0.30727604,0.32905382,0.692724,0.32905382,0.8181818181818182
A10,1,T5,Control,0ms,11,0.36154214,0.32174692,0.63845783,0.32174692,0.7272727272727273
A10,1,T6,Control,0ms,11,0.3241215,0.35314876,0.6758785,0.3531488,0.8181818181818182
A10,1,T7,Control,0ms,11,0.5374966,0.34847757,0.46250334,0.34847757,0.5454545454545454
A10,1,T8,Control,0ms,11,0.47941095,0.35778812,0.52058905,0.35778812,0.6363636363636364
A10,1,T9,Control,0ms,11,0.68121916,0.34331247,0.31878087,0.34331247,0.45454545454545453
A10,2,T0,Control,10000ms,15,0.23817822,0.31406268,0.7618218,0.31406268,0.8
A10,2,T1,Control,10000ms,15,0.25739527,0.3069737,0.7426047,0.3069737,0.8666666666666667
A10,2,T10,Control,10000ms,15,0.76135916,0.25683153,0.23864084,0.25683153,0.26666666666666666
A10,2,T11,Control,10000ms,15,0.7439477,0.27253464,0.25605235,0.27253464,0.4
A10,2,T12,Control,10000ms,15,0.8036348,0.24476136,0.19636516,0.24476138,0.2
A10,2,T13,Control,10000ms,15,0.7790324,0.26103324,0.2209676,0.26103324,0.26666666666666666
A10,2,T14,Control,10000ms,15,0.7766301,0.3051918,0.22336988,0.3051918,0.26666666666666666
A10,2,T15,Control,10000ms,15,0.83837026,0.23758799,0.16162972,0.23758799,0.13333333333333333
A10,2,T2,Control,10000ms,15,0.27808303,0.23212348,0.721917,0.23212345,0.9333333333333333
A10,2,T3,Control,10000ms,15,0.44471171,0.31321374,0.5552883,0.31321374,0.6666666666666666
A10,2,T4,Control,10000ms,15,0.55228716,0.32632685,0.44771284,0.32632685,0.5333333333333333
A10,2,T5,Control,10000ms,15,0.5460847,0.29955015,0.45391524,0.29955015,0.4666666666666667
A10,2,T6,Control,10000ms,15,0.5914898,0.30994195,0.40851024,0.30994195,0.6
A10,2,T7,Control,10000ms,15,0.6124929,0.3244598,0.38750705,0.3244598,0.4
A10,2,T8,Control,10000ms,15,0.6460899,0.322416,0.35391006,0.322416,0.4
A10,2,T9,Control,10000ms,15,0.6454856,0.32827023,0.35451445,0.32827023,0.4
A10,3,T0,Control,10000ms,22,0.06615545,0.12695785,0.93384457,0.12695783,0.9545454545454546
A10,3,T1,Control,10000ms,22,0.16267997,0.27974254,0.83731997,0.27974254,0.8636363636363636
A10,3,T10,Control,10000ms,22,0.60120666,0.3806284,0.3987933,0.3806284,0.45454545454545453
A10,3,T11,Control,10000ms,22,0.5246081,0.3725024,0.4753919,0.3725024,0.5454545454545454
A10,3,T12,Control,10000ms,22,0.6764548,0.37577683,0.3235452,0.37577683,0.2727272727272727
A10,3,T13,Control,10000ms,22,0.65375966,0.362422,0.34624037,0.362422,0.3181818181818182
A10,3,T14,Control,10000ms,22,0.63515776,0.37761644,0.36484224,0.37761644,0.3181818181818182
A10,3,T15,Control,10000ms,22,0.7697542,0.31581393,0.23024587,0.3158139,0.22727272727272727
A10,3,T2,Control,10000ms,22,0.19701745,0.28652757,0.80298257,0.28652757,0.8181818181818182
A10,3,T3,Control,10000ms,22,0.18388304,0.26496476,0.8161169,0.26496476,0.8636363636363636
A10,3,T4,Control,10000ms,22,0.27364412,0.31432363,0.72635585,0.31432363,0.7727272727272727
A10,3,T5,Control,10000ms,22,0.3083638,0.3518774,0.6916362,0.3518774,0.7272727272727273
A10,3,T6,Control,10000ms,22,0.4135783,0.35098374,0.5864217,0.35098377,0.6363636363636364
A10,3,T7,Control,10000ms,22,0.4458502,0.37762895,0.5541498,0.37762895,0.5909090909090909
A10,3,T8,Control,10000ms,22,0.5872663,0.38918877,0.41273367,0.38918877,0.45454545454545453
A10,3,T9,Control,10000ms,22,0.59269595,0.38222224,0.40730408,0.38222224,0.4090909090909091
A10,4,T0,Control,0ms,32,0.087279625,0.16320845,0.9127204,0.16320844,0.96875
A10,4,T1,Control,0ms,32,0.1693082,0.24187823,0.8306918,0.24187823,0.9375
A10,4,T10,Control,0ms,32,0.5314546,0.34706405,0.4685454,0.34706405,0.53125
A10,4,T11,Control,0ms,32,0.559348,0.3616162,0.440652,0.3616162,0.4375
A10,4,T12,Control,0ms,32,0.6002043,0.35208073,0.39979574,0.35208073,0.375
A10,4,T13,Control,0ms,32,0.65435946,0.33484918,0.3456405,0.33484918,0.34375
A10,4,T14,Control,0ms,32,0.6144723,0.35655403,0.38552764,0.35655403,0.40625
A10,4,T15,Control,0ms,32,0.6659156,0.3645918,0.3340844,0.3645918,0.3125
A10,4,T2,Control,0ms,32,0.21535382,0.23174225,0.78464615,0.23174225,0.875
A10,4,T3,Control,0ms,32,0.2523646,0.28647503,0.74763536,0.28647503,0.8125
A10,4,T4,Control,0ms,32,0.3227056,0.34804606,0.6772944,0.34804606,0.78125
A10,4,T5,Control,0ms,32,0.36244723,0.30848497,0.63755274,0.30848497,0.625
A10,4,T6,Control,0ms,32,0.29168755,0.3020678,0.70831245,0.3020678,0.71875
A10,4,T7,Control,0ms,32,0.45369172,0.3807487,0.5463083,0.3807487,0.53125
A10,4,T8,Control,0ms,32,0.48107556,0.3710948,0.5189245,0.3710948,0.5
A10,4,T9,Control,0ms,32,0.5445959,0.38153192,0.45540413,0.38153192,0.5
A11,1,T0,Control,0ms,6,0.15945713,0.21832365,0.84054285,0.21832362,1.0
A11,1,T1,Control,0ms,6,0.1750681,0.21595374,0.82493186,0.21595372,1.0
A11,1,T10,Control,0ms,6,0.22568397,0.20062907,0.774316,0.20062909,1.0
A11,1,T11,Control,0ms,6,0.29696423,0.19003354,0.7030358,0.19003354,1.0
