neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
A4_tile3_n514,A4,3,Control,10000ms,T0,0,images/RFP1/A4_tile3_n514_T0.png,images/Halo/A4_tile3_n514_T0.png,unknown,unknown,3.2229132e-06,0.9999968,1
A4_tile3_n514,A4,3,Control,10000ms,T1,1,images/RFP1/A4_tile3_n514_T1.png,images/Halo/A4_tile3_n514_T1.png,unknown,unknown,8.494926e-06,0.99999154,1
A4_tile3_n514,A4,3,Control,10000ms,T2,2,images/RFP1/A4_tile3_n514_T2.png,images/Halo/A4_tile3_n514_T2.png,unknown,unknown,0.010664955,0.989335,1
A4_tile3_n514,A4,3,Control,10000ms,T3,3,images/RFP1/A4_tile3_n514_T3.png,images/Halo/A4_tile3_n514_T3.png,unknown,unknown,0.7822069,0.21779314,0
A4_tile3_n514,A4,3,Control,10000ms,T4,4,images/RFP1/A4_tile3_n514_T4.png,images/Halo/A4_tile3_n514_T4.png,unknown,unknown,0.30144,0.69856006,1
A4_tile3_n514,A4,3,Control,10000ms,T5,5,images/RFP1/A4_tile3_n514_T5.png,images/Halo/A4_tile3_n514_T5.png,unknown,unknown,0.90384686,0.09615318,0
A4_tile3_n514,A4,3,Control,10000ms,T6,6,images/RFP1/A4_tile3_n514_T6.png,images/Halo/A4_tile3_n514_T6.png,unknown,unknown,0.0033862668,0.9966137,1
A4_tile3_n514,A4,3,Control,10000ms,T7,7,images/RFP1/A4_tile3_n514_T7.png,images/Halo/A4_tile3_n514_T7.png,unknown,unknown,0.9969289,0.0030711947,0
A4_tile3_n514,A4,3,Control,10000ms,T8,8,images/RFP1/A4_tile3_n514_T8.png,images/Halo/A4_tile3_n514_T8.png,unknown,unknown,0.99861956,0.0013803934,0
A4_tile3_n514,A4,3,Control,10000ms,T9,9,images/RFP1/A4_tile3_n514_T9.png,images/Halo/A4_tile3_n514_T9.png,unknown,unknown,0.9999924,7.673465e-06,0
