well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A10,1,T0,Control,0ms,11,0.00016813532,0.00026496328,0.9998319,0.0002649708,1.0
A10,1,T1,Control,0ms,11,0.0010597977,0.0016907562,0.9989402,0.0016907571,1.0
A10,1,T10,Control,0ms,11,0.8706381,0.28717074,0.12936193,0.28717074,0.09090909090909091
A10,1,T11,Control,0ms,11,0.83717996,0.3421591,0.16282001,0.3421591,0.18181818181818182
A10,1,T12,Control,0ms,11,0.92418116,0.1998215,0.075818814,0.1998215,0.09090909090909091
A10,1,T13,Control,0ms,11,0.9975423,0.0044166036,0.0024577,0.004416593,0.0
A10,1,T14,Control,0ms,11,0.96313286,0.08310523,0.0368671,0.08310522,0.0
A10,1,T15,Control,0ms,11,0.97900355,0.06541277,0.020996403,0.065412775,0.0
A10,1,T2,Control,0ms,11,0.013104833,0.035301875,0.98689514,0.03530188,1.0
A10,1,T3,Control,0ms,11,0.009419835,0.0139702335,0.99058014,0.013970246,1.0
A10,1,T4,Control,0ms,11,0.09111238,0.09662299,0.9088876,0.09662299,1.0
A10,1,T5,Control,0ms,11,0.23326753,0.3526389,0.76673245,0.35263887,0.8181818181818182
A10,1,T6,Control,0ms,11,0.39051324,0.4152409,0.60948676,0.4152409,0.6363636363636364
A10,1,T7,Control,0ms,11,0.74740225,0.39140797,0.2525977,0.39140794,0.18181818181818182
A10,1,T8,Control,0ms,11,0.8077429,0.39401573,0.1922571,0.39401573,0.18181818181818182
A10,1,T9,Control,0ms,11,0.8370785,0.3219996,0.16292149,0.32199958,0.18181818181818182
A10,2,T0,Control,10000ms,15,0.00055288186,0.001491898,0.9994471,0.0014918996,1.0
A10,2,T1,Control,10000ms,15,0.007205315,0.018388854,0.9927947,0.018388849,1.0
A10,2,T10,Control,10000ms,15,0.9860531,0.033249702,0.013946885,0.033249702,0.0
A10,2,T11,Control,10000ms,15,0.98942584,0.036914445,0.010574137,0.03691445,0.0
A10,2,T12,Control,10000ms,15,0.99667835,0.012861801,0.0033216437,0.012861815,0.0
A10,2,T13,Control,10000ms,15,0.99947363,0.0019762027,0.00052640383,0.0019761878,0.0
A10,2,T14,Control,10000ms,15,0.99988407,0.0004335988,0.00011592816,0.00043359274,0.0
A10,2,T15,Control,10000ms,15,0.9997393,0.0010091701,0.00026075757,0.0010091751,0.0
A10,2,T2,Control,10000ms,15,0.06850128,0.12925014,0.9314987,0.12925014,1.0
A10,2,T3,Control,10000ms,15,0.46026808,0.4895901,0.5397319,0.4895901,0.5333333333333333
A10,2,T4,Control,10000ms,15,0.49705303,0.4682872,0.502947,0.4682872,0.4666666666666667
A10,2,T5,Control,10000ms,15,0.6004659,0.4337471,0.3995341,0.43374708,0.4
A10,2,T6,Control,10000ms,15,0.7471574,0.38949943,0.25284258,0.38949946,0.2
A10,2,T7,Control,10000ms,15,0.8663056,0.3365474,0.13369441,0.3365474,0.13333333333333333
A10,2,T8,Control,10000ms,15,0.8685828,0.34134918,0.1314172,0.34134918,0.13333333333333333
A10,2,T9,Control,10000ms,15,0.89479923,0.25814974,0.10520075,0.25814974,0.06666666666666667
A10,3,T0,Control,10000ms,22,0.000770046,0.0023392756,0.99922997,0.0023392625,1.0
A10,3,T1,Control,10000ms,22,0.0075506773,0.022995168,0.99244934,0.02299518,1.0
